company_name_canonical,n_postings,mean_desc_len,entry_share,ai_share,median_size
DataAnnotation,163,1493.3374233128834,0.0,0.0,555.0
CodeMonk,25,3015.4,0.0,0.0,38.0
Open Systems Technologies,25,433.04,0.92,0.0,365.0
Dice,18,3196.1111111111113,0.7777777777777778,0.0,691.0
Discover Financial Services,17,6017.117647058823,0.4117647058823529,0.0,20081.0
Collabera,14,1027.7857142857142,0.9285714285714286,0.0,6313.0
maven,14,1134.0714285714287,0.0,0.0,54.0
Avesta Computer Services,12,2194.6666666666665,0.0,0.08333333333333333,145.0
CNA Search,12,1592.9166666666667,0.0,0.0,11.0
Centraprise,12,1157.9166666666667,0.0,0.0,283.0
Selby Jennings,11,1298.3636363636363,0.0,0.0,800.0
ServiceNow,10,6713.3,0.4,0.0,26473.0
USAA,10,5627.5,0.8,0.0,37172.0
Diverse Lynx,9,1350.4444444444443,0.0,0.0,816.0
Thermo Fisher Scientific,9,3734.8888888888887,0.0,0.0,93540.0
Kroger,8,4844.125,0.0,0.0,85221.0
Ledgent Technology,8,2542.75,0.375,0.0,100.0
Procore Technologies,8,4577.0,0.25,0.0,3979.0
"Tanisha Systems, Inc",8,1678.5,0.0,0.0,718.0
Walmart Global Tech,8,5339.0,0.0,0.25,12682.0
