source,size_band,n_companies,n_postings
kaggle_arshkon,<50,553,734
kaggle_arshkon,50-249,531,899
kaggle_arshkon,250-999,392,902
kaggle_arshkon,"1k-4,999",307,610
kaggle_arshkon,"5k-9,999",121,300
kaggle_arshkon,10k+,266,1153
scraped,<50,28,51
scraped,50-249,58,170
scraped,250-999,54,110
scraped,"1k-4,999",70,241
scraped,"5k-9,999",42,167
scraped,10k+,139,1014
scraped,,1188,2565
