group,period,source,J1,J2,J3,J4,J5,S1,S2,S3,S4
SWE,2024-01,kaggle_asaniczka,0.01125268906172431,0.012576534833691875,0.0733631198632026,0.17254123227977275,0.0017099674554581059,0.6353356500634343,0.0050747421258756685,0.02007832754150808,0.47040653097247503
SWE,2024-04,kaggle_arshkon,0.03730547857599659,0.04050309102536773,0.09294393519505435,0.19334896610530802,0.010658708164570454,0.44276273715625664,0.002771264122788318,0.017480281389895543,0.3732679599232573
SWE,2026-03,scraped,0.036456489861960865,0.037821712089801285,0.1174596753804925,0.22955958942205593,0.022045810790311978,0.4350508166051474,0.007584567932446782,0.003185518531627648,0.388936643575871
SWE,2026-04,scraped,0.02625094768764215,0.027435557240333586,0.11462282031842305,0.22588134950720243,0.01217778620166793,0.4316243366186505,0.006870735405610311,0.004122441243366187,0.3907316148597422
adjacent,2024-01,kaggle_asaniczka,0.01592356687898089,0.01762208067940552,0.09214437367303609,0.20976645435244162,0.0012738853503184713,0.6129511677282378,0.004564755838641189,0.2169851380042463,0.4673036093418259
adjacent,2024-04,kaggle_arshkon,0.03923205342237062,0.04382303839732888,0.11227045075125208,0.2166110183639399,0.009599332220367279,0.47454090150250416,0.012103505843071787,0.19449081803005008,0.3484974958263773
adjacent,2026-03,scraped,0.04755944931163955,0.05524763096728053,0.11728946897908099,0.22796352583586627,0.013588414089039871,0.48524941891650275,0.013230824244591453,0.09386733416770963,0.38977293044877526
adjacent,2026-04,scraped,0.040673445574262376,0.045840973495582596,0.11635272545424237,0.23120520086681112,0.014502417069511586,0.4829138189698283,0.011668611435239206,0.09384897482913819,0.39506584430738456
control,2024-01,kaggle_asaniczka,0.015160288966309414,0.015388120484901416,0.2935419257459109,0.372077348800562,0.00807852593007471,0.24337152675596396,0.0056957879648000306,2.8478939824000152e-05,0.08961373064618715
control,2024-04,kaggle_arshkon,0.15347109356860925,0.1612491293243557,0.2668911074994195,0.3352681680984444,0.008938936614813094,0.23113536104016716,0.024611098212212676,0.00023218017181332715,0.08834455537497098
control,2026-03,scraped,0.040356023060584605,0.0414685951249115,0.25649843228481845,0.3566299180742389,0.015070294325882472,0.3273996156569232,0.012036006877718216,5.057145746940427e-05,0.16526752301001316
control,2026-04,scraped,0.030750363372093022,0.03147710755813953,0.2655341569767442,0.3554233284883721,0.011309956395348836,0.306140988372093,0.011355377906976744,0.00013626453488372093,0.15679505813953487
