metric,swe_pre,swe_post,swe_delta,ctrl_pre,ctrl_post,ctrl_delta,did,did_share,variant
ai_strict_binary,0.010648553900087643,0.14385655928181795,0.1332080053817303,0.0017901803343425037,0.002632208662359416,0.0008420283280169123,0.1323659770537134,0.9936788459101693,baseline
ai_broad_binary,0.149079754601227,0.5111665565910815,0.36208680198985443,0.011179851695844852,0.07781765972720747,0.06663780803136263,0.2954489939584918,0.8159617868832738,baseline
has_ai_tech,0.033304119193689745,0.2238692791272229,0.19056515993353315,0.0018867096660962661,0.003565446279014118,0.001678736612917852,0.1888864233206153,0.9911907474928608,baseline
desc_len_chars,3763.080806310254,4912.017049485091,1148.9362431748368,3708.784177964986,4434.2755204594405,725.4913424944543,423.4449006803825,0.36855387163197506,baseline
tech_count,4.554776511831727,6.138279396296568,1.583502884464841,0.07989118511693212,0.1645130413974635,0.08462185628053139,1.4988810281843097,0.9465603396680076,baseline
org_scope_count,1.2645048203330411,2.290232626403464,1.0257278060704227,0.17151507173884428,0.4721703756879636,0.3006553039491193,0.7250725021213034,0.7068858793046335,baseline
mgmt_strict_count,0.6808501314636284,0.8743670653848976,0.19351693392126923,0.5727875038392348,0.6624790619765494,0.08969155813731455,0.10382537578395468,0.5365182967718741,baseline
requirement_breadth,8.466652059596845,11.878378708935692,3.4117266493388474,2.4803211794129263,3.438860971524288,0.9585397921113619,2.4531868572274855,0.7190455477149332,baseline
ai_strict_binary,0.010335784439759346,0.14403920072767817,0.13370341628791882,0.00186840191810325,0.002745473853246652,0.0008770719351434023,0.1328263443527754,0.9934401681012046,no_aggregators
ai_broad_binary,0.1477862909446187,0.5267157653824712,0.3789294744378525,0.011431306316671115,0.05988241083685151,0.048451104520180394,0.3304783699176721,0.8721368809009689,no_aggregators
has_ai_tech,0.033269913097135805,0.2289252075936739,0.1956552944965381,0.0019696453717935737,0.0037556010256675904,0.0017859556538740167,0.19386933884266408,0.9908719278030801,no_aggregators
desc_len_chars,3707.145677996606,5112.935506587248,1405.7898285906417,3743.1458918167677,4467.269315444585,724.1234236278174,681.6664049628243,0.48489922967092536,no_aggregators
tech_count,4.328996760425772,6.072474399225375,1.743477638799603,0.07313458936575579,0.14613173094356238,0.0729971415778066,1.6704804972217964,0.958131300365822,no_aggregators
org_scope_count,1.3121304057181056,2.390452158093953,1.0783217523758473,0.16078380841056983,0.45437592271232097,0.29359211430175114,0.7847296380740961,0.7277323640602772,no_aggregators
mgmt_strict_count,0.6197871136936288,0.9244153633989612,0.3046282497053324,0.5704056180912848,0.6468699008003316,0.07646428270904682,0.2281639669962856,0.7489914911600914,no_aggregators
requirement_breadth,8.277780634545174,12.0556028285555,3.7778221940103265,2.437196844885825,3.359501670594939,0.922304825709114,2.8555173683012125,0.7558633576849083,no_aggregators
ai_strict_binary,0.009805844283192783,0.144775579773772,0.13496973549057922,0.0017901803343425037,0.002632208662359416,0.0008420283280169123,0.1341277071625623,0.9937613545365829,tier_high_conf
ai_broad_binary,0.156256128652677,0.5205309643096947,0.3642748356570177,0.011179851695844852,0.07781765972720747,0.06663780803136263,0.297637027625655,0.8170672209317654,tier_high_conf
has_ai_tech,0.03319278289860757,0.2269769123495687,0.19378412945096113,0.0018867096660962661,0.003565446279014118,0.001678736612917852,0.1921053928380433,0.9913370789564959,tier_high_conf
desc_len_chars,3808.701706216905,4937.867336397913,1129.165630181008,3708.784177964986,4434.2755204594405,725.4913424944543,403.6742876865537,0.35749785230519615,tier_high_conf
tech_count,4.744508727201412,6.236558029027426,1.4920493018260146,0.07989118511693212,0.1645130413974635,0.08462185628053139,1.4074274455454832,0.9432848122532086,tier_high_conf
org_scope_count,1.3033928221219846,2.331878518671556,1.0284856965495714,0.17151507173884428,0.4721703756879636,0.3006553039491193,0.7278303926004521,0.7076718665531503,tier_high_conf
mgmt_strict_count,0.7001372818199647,0.8858530034605651,0.18571572164060035,0.5727875038392348,0.6624790619765494,0.08969155813731455,0.0960241635032858,0.5170491903163325,tier_high_conf
requirement_breadth,8.727985879584232,12.038840968958215,3.310855089373984,2.4803211794129263,3.438860971524288,0.9585397921113619,2.352315297262622,0.7104857306537682,tier_high_conf
