comparison,scope,jaccard,intersection,union,set1_size,set2_size
kaggle_arshkon vs kaggle_asaniczka,all,0.11394740888820544,741,6503,2298,4946
kaggle_arshkon vs scraped,all,0.1166709216236916,914,7834,2298,6450
kaggle_asaniczka vs scraped,all,0.1361914257228315,1366,10030,4946,6450
kaggle_arshkon vs kaggle_asaniczka,top50,0.13636363636363635,12,88,50,50
kaggle_arshkon vs scraped,top50,0.21951219512195122,18,82,50,50
kaggle_asaniczka vs scraped,top50,0.16279069767441862,14,86,50,50
