comparison,chi2,p_value,dof,cramers_v
kaggle_arshkon vs kaggle_asaniczka,224.82195092504182,4.483840070895604e-40,14,0.10755966247802307
kaggle_arshkon vs scraped,267.27798605097075,7.57498717661698e-49,14,0.09021801052087755
kaggle_asaniczka vs scraped,1610.9971207444703,0.0,14,0.18719166757019412
