comparison,scope,jaccard,intersection,union
kaggle_arshkon vs kaggle_asaniczka,all,0.04844104002589276,449,9269
kaggle_arshkon vs scraped,all,0.03003329918032787,469,15616
kaggle_asaniczka vs scraped,all,0.03958766877994483,818,20663
kaggle_arshkon vs kaggle_asaniczka,top50,0.3888888888888889,28,72
kaggle_arshkon vs scraped,top50,0.42857142857142855,30,70
kaggle_asaniczka vs scraped,top50,0.26582278481012656,21,79
