state_normalized,Arshkon (2024-04),Asaniczka (2024-01),Scraped (2026)
CA,19.69504447268107,20.90881178999079,25.382283597170762
TX,15.08894536213469,9.524101934295363,13.442236443246886
VA,9.275730622617536,8.517040221062327,6.012125294712025
NY,8.195679796696314,6.895916487565244,8.625799932637252
WA,6.130876747141042,4.574762050967148,8.191310205456382
IL,5.622617534942822,6.281854467301197,4.156281576288313
GA,5.082592121982211,3.9422781700951792,4.075446278208151
NJ,4.7649301143583225,4.587043291372429,4.119232064668239
NC,4.606099110546379,3.6720908811789994,5.621421353991242
FL,4.510800508259212,5.8397298127110835,2.657460424385315
PA,4.224904701397713,4.8081056186674855,3.1626810373863252
MA,4.03430749682338,5.630948725821308,5.890872347591782
OH,3.5578144853875475,4.7589806570463615,1.673964297743348
CO,2.763659466327827,3.7887626650291684,3.213203098686426
MD,2.445997458703939,6.269573226895917,3.7756820478275515
