company_industry,Arshkon (2024-04),Scraped (2026)
"Accounting, Financial Services, and Business Consulting and Services",0.0,1.7489797618056135
"Accounting, IT Services and IT Consulting, and Business Consulting and Services",0.0,1.8530857000083285
Aviation and Aerospace Component Manufacturing,0.7482789583956899,1.5990672107937036
Business Consulting and Services,1.8856629751571385,2.2820021654035143
Defense and Space Manufacturing,3.6216701586351396,4.942949945864912
Financial Services,14.157437892846453,12.534354959606897
Hospitals and Health Care,2.36456150853038,1.8947280752894147
IT Services and IT Consulting,36.30649506135887,16.21970517198301
"Information Services and Technology, Information and Internet",0.0,3.181477471474973
Insurance,1.9155941334929663,1.4783043224785541
Retail,2.2448368751870698,1.586574498209378
Semiconductor Manufacturing,1.257108650104759,1.7864578995585907
Software Development,23.61568392696797,37.50312317814608
Staffing and Recruiting,8.20113738401676,3.5479303739485304
"Technology, Information and Internet",3.6815324753067946,7.8412592654285005
