source,title_normalized,seniority_native,median_yoe,mean_yoe,yoe_n
scraped,ai engineer,associate,4.0,4.333333333333333,3
scraped,ai engineer,entry,2.0,2.5,10
scraped,ai engineer,mid-senior,5.0,5.361581920903955,177
kaggle_arshkon,application engineer,associate,2.0,2.0,3
scraped,application engineer,associate,3.0,4.7,10
kaggle_arshkon,application engineer,entry,2.0,2.625,8
scraped,application engineer,entry,2.0,1.5555555555555556,9
kaggle_arshkon,application engineer,mid-senior,7.5,6.75,4
scraped,application engineer,mid-senior,5.0,5.0,44
scraped,cloud engineer,associate,10.0,7.0,3
kaggle_arshkon,cloud engineer,entry,3.0,4.2,5
scraped,cloud engineer,entry,2.0,1.8,5
kaggle_arshkon,cloud engineer,mid-senior,5.0,4.636363636363637,11
scraped,cloud engineer,mid-senior,5.0,5.372340425531915,94
kaggle_arshkon,data engineer,associate,3.0,3.1666666666666665,6
scraped,data engineer,associate,4.5,4.958333333333333,24
scraped,data engineer,director,8.5,9.625,8
kaggle_arshkon,data engineer,entry,3.0,3.473684210526316,19
scraped,data engineer,entry,2.0,1.8870967741935485,62
kaggle_arshkon,data engineer,mid-senior,5.0,5.015625,64
scraped,data engineer,mid-senior,5.0,5.537477148080439,547
kaggle_arshkon,developer,entry,8.0,6.647058823529412,17
kaggle_arshkon,developer,mid-senior,7.0,6.142857142857143,7
scraped,developer,mid-senior,6.0,6.2682926829268295,41
scraped,devops engineer,associate,4.0,4.846153846153846,13
scraped,devops engineer,entry,2.0,3.411764705882353,17
kaggle_arshkon,devops engineer,mid-senior,5.0,5.735294117647059,34
scraped,devops engineer,mid-senior,5.0,5.433884297520661,242
kaggle_arshkon,embedded software engineer,associate,3.0,3.0,3
scraped,embedded software engineer,associate,4.0,4.166666666666667,6
scraped,embedded software engineer,entry,2.0,2.4444444444444446,9
kaggle_arshkon,embedded software engineer,mid-senior,6.5,6.875,16
scraped,embedded software engineer,mid-senior,5.0,5.743055555555555,144
scraped,full stack developer,associate,5.0,4.5,8
kaggle_arshkon,full stack developer,entry,7.0,6.666666666666667,3
scraped,full stack developer,entry,4.5,4.875,8
kaggle_arshkon,full stack developer,mid-senior,4.0,3.75,4
scraped,full stack developer,mid-senior,5.0,5.430894308943089,123
kaggle_arshkon,full stack engineer,associate,4.0,3.6666666666666665,3
scraped,full stack engineer,associate,3.0,3.5,14
scraped,full stack engineer,entry,2.0,3.5,10
kaggle_arshkon,full stack engineer,mid-senior,5.0,5.105263157894737,19
scraped,full stack engineer,mid-senior,5.0,5.2695035460992905,141
scraped,java developer,associate,5.0,5.666666666666667,3
kaggle_arshkon,java developer,entry,5.0,5.454545454545454,11
scraped,java developer,entry,2.0,2.25,4
kaggle_arshkon,java developer,mid-senior,5.0,5.9523809523809526,21
scraped,java developer,mid-senior,6.0,6.280701754385965,57
scraped,java software engineer,associate,2.0,3.5,4
kaggle_arshkon,java software engineer,mid-senior,5.0,5.111111111111111,9
scraped,java software engineer,mid-senior,7.0,7.068181818181818,44
scraped,machine learning engineer,associate,3.0,3.2222222222222223,9
scraped,machine learning engineer,director,7.0,7.333333333333333,3
scraped,machine learning engineer,entry,2.0,1.7692307692307692,13
kaggle_arshkon,machine learning engineer,mid-senior,4.5,4.375,16
scraped,machine learning engineer,mid-senior,5.0,4.818181818181818,187
scraped,quality assurance engineer,associate,2.0,3.5,6
kaggle_arshkon,quality assurance engineer,entry,3.0,3.8,5
scraped,quality assurance engineer,entry,1.0,1.25,4
kaggle_arshkon,quality assurance engineer,mid-senior,5.0,4.75,4
scraped,quality assurance engineer,mid-senior,4.5,4.521739130434782,46
scraped,site reliability engineer,associate,3.0,4.333333333333333,6
kaggle_arshkon,site reliability engineer,entry,3.0,4.333333333333333,3
scraped,site reliability engineer,entry,2.0,3.0,6
kaggle_arshkon,site reliability engineer,mid-senior,5.0,5.153846153846154,13
scraped,site reliability engineer,mid-senior,5.0,5.144,125
scraped,software developer,associate,3.0,3.5,6
kaggle_arshkon,software developer,entry,3.0,3.8333333333333335,6
scraped,software developer,entry,2.0,2.111111111111111,18
kaggle_arshkon,software developer,mid-senior,4.0,5.181818181818182,11
scraped,software developer,mid-senior,5.0,4.735632183908046,87
scraped,software development engineer,associate,5.0,4.0,3
kaggle_arshkon,software development engineer,entry,3.0,3.2,5
scraped,software development engineer,entry,2.0,2.5,10
kaggle_arshkon,software development engineer,mid-senior,5.0,5.666666666666667,12
scraped,software development engineer,mid-senior,5.0,5.017241379310345,116
kaggle_arshkon,software engineer,associate,3.0,3.357142857142857,14
scraped,software engineer,associate,4.0,4.675,80
scraped,software engineer,director,7.0,7.5,16
kaggle_arshkon,software engineer,entry,2.0,3.0,38
scraped,software engineer,entry,2.0,2.0861244019138754,209
kaggle_arshkon,software engineer,mid-senior,5.0,5.2988505747126435,174
scraped,software engineer,mid-senior,5.0,5.435828877005347,1496
kaggle_arshkon,system engineer,associate,2.5,3.0,8
scraped,system engineer,associate,4.0,5.833333333333333,6
scraped,system engineer,director,12.0,11.333333333333334,3
scraped,system engineer,entry,2.0,1.8,5
kaggle_arshkon,system engineer,mid-senior,5.0,5.7894736842105265,19
scraped,system engineer,mid-senior,5.0,6.516129032258065,62
scraped,systems engineer,associate,10.0,8.333333333333334,3
kaggle_arshkon,systems engineer,entry,3.0,3.8666666666666667,15
scraped,systems engineer,entry,2.0,1.8571428571428572,7
kaggle_arshkon,systems engineer,mid-senior,5.0,5.315789473684211,19
scraped,systems engineer,mid-senior,7.0,7.031914893617022,94
kaggle_arshkon,test engineer,associate,3.0,3.8,5
scraped,test engineer,associate,3.0,3.5454545454545454,11
kaggle_arshkon,test engineer,entry,2.0,2.7142857142857144,7
scraped,test engineer,entry,2.0,1.95,20
kaggle_arshkon,test engineer,mid-senior,6.0,6.111111111111111,9
scraped,test engineer,mid-senior,4.0,4.451612903225806,93
