group,period,seniority_3level,n,within_group_similarity,embedding_method
entry_2024,2024-04,junior,768,0.34695500135421753,sentence-transformers:all-MiniLM-L6-v2
entry_2026,2026-03,junior,561,0.31543347239494324,sentence-transformers:all-MiniLM-L6-v2
mid_2024,2024-04,mid,210,0.34805426001548767,sentence-transformers:all-MiniLM-L6-v2
mid_2026,2026-03,mid,114,0.3938767611980438,sentence-transformers:all-MiniLM-L6-v2
