tier,term,period,n_postings,hits,share
STRICT,manage,2024,21646,6103,0.28194585604730665
STRICT,mentor,2024,21646,3016,0.13933290215282268
STRICT,coach,2024,21646,74,0.0034186454772244293
STRICT,hire,2024,21646,251,0.011595675875450429
STRICT,direct_reports,2024,21646,0,0.0
STRICT,performance_review,2024,21646,1,4.619791185438418e-05
STRICT,headcount,2024,21646,3,0.00013859373556315255
STRICT,people_management,2024,21646,0,0.0
STRICT,team_building,2024,21646,17,0.0007853645015245311
STRICT,manage,2026,12456,3567,0.2863680154142582
STRICT,mentor,2026,12456,2588,0.2077713551701991
STRICT,coach,2026,12456,41,0.003291586384071933
STRICT,hire,2026,12456,208,0.016698779704560053
STRICT,direct_reports,2026,12456,0,0.0
STRICT,performance_review,2026,12456,0,0.0
STRICT,headcount,2026,12456,7,0.0005619781631342324
STRICT,people_management,2026,12456,0,0.0
STRICT,team_building,2026,12456,12,0.0009633911368015414
BROAD,manage,2024,21646,6103,0.28194585604730665
BROAD,mentor,2024,21646,3016,0.13933290215282268
BROAD,coach,2024,21646,74,0.0034186454772244293
BROAD,hire,2024,21646,251,0.011595675875450429
BROAD,direct_reports,2024,21646,0,0.0
BROAD,performance_review,2024,21646,1,4.619791185438418e-05
BROAD,headcount,2024,21646,3,0.00013859373556315255
BROAD,people_management,2024,21646,0,0.0
BROAD,team_building,2024,21646,17,0.0007853645015245311
BROAD,lead,2024,21646,6649,0.3071699159198004
BROAD,team,2024,21646,16751,0.7738612214727895
BROAD,stakeholder,2024,21646,3467,0.16016816039914997
BROAD,coordinate,2024,21646,1952,0.09017832393975793
BROAD,manage,2026,12456,3567,0.2863680154142582
BROAD,mentor,2026,12456,2588,0.2077713551701991
BROAD,coach,2026,12456,41,0.003291586384071933
BROAD,hire,2026,12456,208,0.016698779704560053
BROAD,direct_reports,2026,12456,0,0.0
BROAD,performance_review,2026,12456,0,0.0
BROAD,headcount,2026,12456,7,0.0005619781631342324
BROAD,people_management,2026,12456,0,0.0
BROAD,team_building,2026,12456,12,0.0009633911368015414
BROAD,lead,2026,12456,4056,0.325626204238921
BROAD,team,2026,12456,10331,0.8293994861913937
BROAD,stakeholder,2026,12456,2886,0.2316955684007707
BROAD,coordinate,2026,12456,674,0.05411046885035324
