metric,n_arsh,n_asan,n_scr,arshkon_mean,asaniczka_mean,scraped_mean,within_2024,cross_arsh,cross_pooled,snr_arsh,snr_pooled,slice
management_STRICT_binary,4421,16055,11211,0.35286134358742366,0.38897539707256307,0.4392114887164392,-0.03611405348513941,0.08635014512901557,0.05803352427025832,2.3910399635573403,1.6069512743602312,all_no_spec
management_BROAD_binary,4421,16055,11211,0.8090929653924451,0.8614761756462161,0.8966193916688966,-0.05238321025377102,0.08752642627645146,0.046453343612635645,1.6708870237701883,0.8867983345730803,all_no_spec
has_ai,4421,16055,11211,0.041167156751866094,0.028526938648396137,0.2105075372402105,0.012640218103469957,0.16934038048834443,0.17925143253225972,13.396950835987363,14.181039525184469,all_no_spec
has_scope,4421,16055,11211,0.4308979868807962,0.4339458112737465,0.6217108197306217,-0.00304782439295026,0.19081283284982548,0.1884230682166541,62.60624243679629,61.822153747599174,all_no_spec
has_mgmt_strict,4421,16055,11211,0.35286134358742366,0.38897539707256307,0.4392114887164392,-0.03611405348513941,0.08635014512901557,0.05803352427025832,2.3910399635573403,1.6069512743602312,all_no_spec
management_STRICT_binary,168,205,537,0.24404761904761904,0.25853658536585367,0.26629422718808193,-0.014488966318234625,0.022246608140462892,0.01428350332749212,1.5354172031213251,0.9858193478934432,j2_no_spec
management_BROAD_binary,168,205,537,0.8273809523809523,0.8195121951219512,0.9013035381750466,0.007868757259001158,0.07392258579409428,0.0782472379069501,9.394442268445047,9.944040123672924,j2_no_spec
has_ai,168,205,537,0.05952380952380952,0.01951219512195122,0.2271880819366853,0.0400116144018583,0.1676642724128758,0.18965456987234214,4.190390088461134,4.739987943689016,j2_no_spec
has_scope,168,205,537,0.30952380952380953,0.32682926829268294,0.4767225325884544,-0.017305458768873405,0.16719872306464484,0.1576876800415375,9.661617487158335,9.112019631930455,j2_no_spec
has_mgmt_strict,168,205,537,0.24404761904761904,0.25853658536585367,0.26629422718808193,-0.014488966318234625,0.022246608140462892,0.01428350332749212,1.5354172031213251,0.9858193478934432,j2_no_spec
management_STRICT_binary,375,1088,1080,0.384,0.35661764705882354,0.36203703703703705,0.02738235294117647,-0.021962962962962962,-0.0015993265993266004,0.8020845765206668,0.058407201264344163,j3_no_spec
management_BROAD_binary,375,1088,1080,0.8773333333333333,0.8722426470588235,0.9111111111111111,0.005090686274509815,0.033777777777777795,0.03756360598465858,6.635211041566351,7.378888416822661,j3_no_spec
has_ai,375,1088,1080,0.04,0.03676470588235294,0.21574074074074073,0.0032352941176470584,0.17574074074074073,0.17814675577833472,54.31986531986532,55.06354269512165,j3_no_spec
has_scope,375,1088,1080,0.4186666666666667,0.4099264705882353,0.5685185185185185,0.008740196078431406,0.14985185185185185,0.1563517379306853,17.145136162522522,17.888813537778844,j3_no_spec
has_mgmt_strict,375,1088,1080,0.384,0.35661764705882354,0.36203703703703705,0.02738235294117647,-0.021962962962962962,-0.0015993265993266004,0.8020845765206668,0.058407201264344163,j3_no_spec
management_STRICT_binary,1987,10273,5662,0.4172118772018118,0.4211038644991726,0.5254327092900035,-0.0038919872973607883,0.10822083208819172,0.10495962609261361,27.806059943098425,26.968131721238716,s1_no_spec
management_BROAD_binary,1987,10273,5662,0.867639657775541,0.9003212304098122,0.9399505475097139,-0.03268157263427118,0.07231088973417288,0.04492607768915924,2.2125890495962497,1.3746608277365449,s1_no_spec
has_ai,1987,10273,5662,0.051333668847508805,0.028034653947240338,0.2170611091487107,0.023299014900268467,0.1657274403012019,0.18525034242766666,7.113066411202316,7.950994633062022,s1_no_spec
has_scope,1987,10273,5662,0.5078007045797684,0.4684123430351407,0.6962204168138467,0.03938836154462777,0.18841971223407827,0.22142433198513545,4.783639248883078,5.621567470742783,s1_no_spec
has_mgmt_strict,1987,10273,5662,0.4172118772018118,0.4211038644991726,0.5254327092900035,-0.0038919872973607883,0.10822083208819172,0.10495962609261361,27.806059943098425,26.968131721238716,s1_no_spec
management_STRICT_binary,1694,7849,4628,0.39964580873671784,0.4339406293795388,0.5153414001728609,-0.03429482064282097,0.11569559143614305,0.08748852371891558,3.3735587259985262,2.551071038688456,s4_no_spec
management_BROAD_binary,1694,7849,4628,0.8181818181818182,0.8862275449101796,0.9200518582541054,-0.0680457267283614,0.10187004007228717,0.04590326766414421,1.4970821089023336,0.6745944215922639,s4_no_spec
has_ai,1694,7849,4628,0.03364817001180637,0.022295833864186522,0.195980985306828,0.011352336147619851,0.16233281529502164,0.171669971998644,14.299507447994005,15.121995135304076,s4_no_spec
has_scope,1694,7849,4628,0.4716646989374262,0.475601987514333,0.6668107173725151,-0.003937288576906839,0.19514601843508889,0.19190764705919638,49.56355487369355,48.74106718638347,s4_no_spec
has_mgmt_strict,1694,7849,4628,0.39964580873671784,0.4339406293795388,0.5153414001728609,-0.03429482064282097,0.11569559143614305,0.08748852371891558,3.3735587259985262,2.551071038688456,s4_no_spec
