tech,rate_ai_mentioning,rate_non_ai_mentioning,lift_ai_over_nonai,delta
keras,0.014304872597228431,3.131556696833996e-05,456.79749664729553,0.014273557030260092
sklearn,0.06336611533303531,0.0011899915447969186,53.24921476131096,0.06217612378823839
xgboost,0.007487706750111757,0.00031315566968339963,23.910493965131874,0.007174551080428357
fastapi,0.06012516763522575,0.011962546581905865,5.026117743705926,0.04816262105331988
numpy,0.028386231560125166,0.0058560110230795725,4.847366483473139,0.022530220537045592
pandas,0.03721502011622709,0.009300723389596968,4.001303829533602,0.027914296726630122
flask,0.03028609745194457,0.00873704318416685,3.4664012542399494,0.02154905426777772
jupyter,0.007040679481448368,0.002724454326245577,2.584253079092997,0.0043162251552027915
tailwind,0.01274027715690657,0.005261015250681114,2.421638514592247,0.007479261906225457
nextjs,0.04313813142601699,0.019603544922180815,2.2005270779984034,0.023534586503836174
r_language,0.012963790791238265,0.006200482259731312,2.090771370386927,0.006763308531506953
gcp,0.18305766651765756,0.10089875677199135,1.814270783646294,0.08215890974566621
svelte,0.003017434063477872,0.0018163028841637178,1.6613055508454981,0.0012011311793141543
bigquery,0.025033527045149755,0.015250681113581561,1.64146944380445,0.009782845931568194
python,0.6924452391595888,0.4391695111639996,1.5767151898233849,0.2532757279955892
databricks,0.06180151989271346,0.04024050355431685,1.5358038402599368,0.021561016338396605
redis,0.045261510952168085,0.029593210785081266,1.5294559039529982,0.01566830016708682
express,0.026933392936969155,0.01781855760498544,1.5115360925417154,0.009114835331983717
django,0.02246312025033527,0.01556383678326496,1.4432893741528292,0.006899283467070309
azure,0.306995976754582,0.2175492437290577,1.4111562581983688,0.0894467330255243
spark,0.0908582923558337,0.06510506372717878,1.3955641413173823,0.025753228628654923
nodejs,0.1043808672329012,0.07772523721541978,1.342946911099208,0.02665563001748142
snowflake,0.058672329012069736,0.04402968715748599,1.332562931964739,0.014642641854583749
docker,0.2305543138131426,0.17377008110731845,1.3267779605325432,0.05678423270582414
vue,0.031962449709432274,0.02417561769955845,1.322094438563861,0.0077868320098738245
playwright,0.01911041573535986,0.014530423073309743,1.3152002277526862,0.004579992662050116
aws,0.4202056325435852,0.3249616384304638,1.2930930388372657,0.0952439941131214
react,0.21669646848457755,0.17179720038831303,1.261350406146193,0.044899268096264516
kubernetes,0.2620697362539115,0.20878088497792252,1.2552381712608605,0.05328885127598898
pytest,0.008717031738936076,0.0070146870009081515,1.2426829219618112,0.001702344738027924
postgresql,0.11365668305766652,0.09360222966836815,1.2142518769088206,0.02005445338929837
rust,0.04280286097451944,0.035668430776939215,1.2000208599642928,0.007134430197580227
github_actions,0.06012516763522575,0.05026148498418564,1.1962473383773606,0.00986368265104011
dynamodb,0.028162717925793473,0.02358062192715999,1.1943161640429787,0.004582095998633483
typescript,0.21390254805543138,0.17950082986252466,1.1916521401001552,0.034401718192906716
microservices,0.168864550737595,0.14358187454983873,1.1760854304697101,0.02528267618775626
dbt,0.018775145283862316,0.01597093915385338,1.1755817928423045,0.0028042061300089342
go,0.1671881984801073,0.14229793630413679,1.1749165365460534,0.024890262175970512
scala,0.03553866785873938,0.030908464597751543,1.1498037292128922,0.004630203260987838
cicd,0.3565042467590523,0.32123508596123135,1.1097923680792372,0.03526916079782094
rails,0.01050514081358963,0.009582563492312028,1.0962766718965935,0.0009225773212776008
javascript,0.23379526151095217,0.21986659568471487,1.06335053209361,0.013928665826237308
mongodb,0.04894948591864104,0.046942034885541606,1.0427644655370008,0.0020074510330994333
kafka,0.09745194456861869,0.09369617636927316,1.0400845407452208,0.0037557681993455327
argocd,0.009946356727760394,0.010302821532583847,0.9654012443391267,-0.00035646480482345345
elasticsearch,0.01866338846669647,0.019760122757022516,0.9444975973169863,-0.0010967342903260464
java,0.2920205632543585,0.313562772053988,0.9312985764907051,-0.021542208799629536
tdd,0.01776933392936969,0.019728807190054175,0.9006795878834323,-0.001959473260684484
csharp,0.10024586499776486,0.1121410453136254,0.893926614625419,-0.011895180315860537
terraform,0.11198033080017882,0.12698462405661853,0.8818416531299902,-0.015004293256439719
sql,0.22440768886902102,0.25935552563179154,0.8652512350464198,-0.03494783676277052
angular,0.07431828341528833,0.08614912472990323,0.8626702087605971,-0.011830841314614898
helm,0.01933392936969155,0.02320483512353991,0.8331853799761948,-0.0038709057538483596
devops,0.17556995976754583,0.21435505589828704,0.8190614353918249,-0.038785096130741215
cassandra,0.013075547608404113,0.01600225472082172,0.8171065788242047,-0.0029267071124176054
cpp,0.15634778721502013,0.19769517427113018,0.7908528257781147,-0.041347387056110046
mysql,0.038556101922217256,0.04916544014029374,0.7842114666765374,-0.010609338218076483
ruby,0.01709879302637461,0.022108790279648013,0.7733934245201421,-0.005009997253273404
dotnet,0.05442556995976754,0.07099239031722669,0.7666394907477976,-0.01656682035745915
spring,0.07264193115780063,0.09710957316882222,0.7480408860567711,-0.024467642011021598
sre,0.028050961108627627,0.038079729433501394,0.736637616021222,-0.010028768324873767
cypress,0.01050514081358963,0.014436476372404722,0.7276803939270231,-0.0039313355588150925
laravel,0.0013410818059901655,0.0018476184511320578,0.725843479842101,-0.0005065366451418923
kotlin,0.022798390701832812,0.03272476748191526,0.6966708232360069,-0.009926376780082447
redux,0.011510952168082253,0.01678514389503022,0.6857821559391242,-0.005274191726947966
agile,0.19009834599910594,0.29389659599787055,0.6468205096206127,-0.10379824999876461
jenkins,0.06683057666517657,0.10634766542448251,0.6284160202146889,-0.03951708875930594
php,0.007152436298614216,0.012181755550684245,0.5871433118859839,-0.00502931925207003
css,0.046714349575324096,0.07957285566655184,0.5870638823253933,-0.03285850609122774
junit,0.015198927134555208,0.025929289449785488,0.5861682852509076,-0.01073036231523028
oracle,0.035985695127402774,0.06275639620455328,0.573418763724228,-0.02677070107715051
jest,0.008270004470272686,0.014624369774214762,0.5654947596342992,-0.006354365303942075
gitlab,0.03755029056772463,0.06823662042401278,0.5502952862318268,-0.03068632985628815
selenium,0.013522574877067501,0.02483324460589359,0.5445351621051658,-0.011310669728826089
scrum,0.0464908359409924,0.08937462812764226,0.5201793497209917,-0.04288379218664985
html,0.04235583370585606,0.08370651050637272,0.5060040545189306,-0.04135067680051666
swift,0.013746088511399196,0.027526383365170826,0.4993786626103647,-0.01378029485377163
mocha,0.0013410818059901655,0.0028810321610872763,0.46548657946395605,-0.0015399503550971108
perl,0.007487706750111757,0.01672251276109354,0.4477620592721324,-0.009234806010981783
shell,0.009499329459097004,0.02342404409231829,0.4055375502905677,-0.013924714633221286
jquery,0.004470272686633884,0.011712022046159145,0.3816824002734755,-0.007241749359525261
bash,0.024586499776486366,0.06908214073215796,0.3559024013429461,-0.04449564095567159
ansible,0.018439874832364773,0.05852879466382739,0.3150564596157861,-0.04008891983146262
