skill,in_junior,in_midsenior,rate_junior,rate_midsenior,delta,chi2,p_value,log_odds_junior_over_midsenior,rank,bh_thresh,significant_fdr05,bonferroni_thresh,significant_bonferroni
excel,8,87,0.03508771929824561,0.007614213197969543,0.027473506100276067,20.86836309452084,4.919531644602923e-06,1.6085771598447178,1,0.0001,True,0.0001,True
polygraph,7,78,0.03070175438596491,0.006826535970593383,0.023875218415371526,17.598839892696596,2.7275468574367213e-05,1.588222661854236,2,0.0002,True,0.0001,True
svn,7,91,0.03070175438596491,0.007964291965692281,0.02273746242027263,13.859720115598847,0.00019697524185365205,1.433836131904483,3,0.00030000000000000003,True,0.0001,False
terraform,2,670,0.008771929824561403,0.05863819359355855,-0.049866263768997145,10.229797287744308,0.0013818984999689945,-1.7312124137799274,4,0.0004,False,0.0001,False
objectoriented design,9,160,0.039473684210526314,0.014003150708909505,0.025470533501616807,10.147579437922396,0.0014449084218097622,1.1112346233153747,5,0.0005,False,0.0001,False
programming,11,220,0.04824561403508772,0.019254332224750568,0.02899128181033715,9.670451670866699,0.0018725527118782326,0.9884997360375306,6,0.0006000000000000001,False,0.0001,False
autocad,5,67,0.021929824561403508,0.005863819359355855,0.01606600520204765,9.397315978146958,0.002173033281115431,1.4210187575283046,7,0.0007000000000000001,False,0.0001,False
mentoring,2,626,0.008771929824561403,0.054787327148608435,-0.04601539732404703,9.283950180165052,0.00231170370510381,-1.6592552790480897,8,0.0008,False,0.0001,False
software testing,18,450,0.07894736842105263,0.03938386136880798,0.039563507052244644,9.077640438790095,0.0025875369503981626,0.7614389047774279,9,0.0009,False,0.0001,False
security,1,506,0.0043859649122807015,0.044284964116926305,-0.039898999204645604,8.551890366250857,0.0034516360648795203,-1.9508124181751128,10,0.001,False,0.0001,False
microsoft office suite,8,148,0.03508771929824561,0.012952914405741292,0.02213480489250432,8.292940974768875,0.003979948041389243,1.074237047852807,11,0.0011,False,0.0001,False
azure,10,1123,0.043859649122807015,0.09828461403815858,-0.054424964915351565,7.544204730089715,0.0060203387636376905,-0.8193759266755051,12,0.0012000000000000001,False,0.0001,False
r,6,101,0.02631578947368421,0.008839488884999126,0.017476300588685083,7.504990532680401,0.006152826388721855,1.1816283763004771,13,0.0013,False,0.0001,False
data analytics,12,277,0.05263157894736842,0.02424295466479958,0.028388624282568838,7.4494719938088085,0.0063455060926362866,0.8414670965126795,14,0.0014000000000000002,False,0.0001,False
data modeling,13,317,0.05701754385964912,0.027743742342026957,0.029273801517622162,6.962232587981611,0.00832480907132227,0.7848068346883276,15,0.0015,False,0.0001,False
computer science,38,1272,0.16666666666666666,0.11132504813583056,0.05534161853083609,6.861956898703683,0.008805006780429645,0.4779395342754695,16,0.0016,False,0.0001,False
data governance,7,134,0.03070175438596491,0.01172763871871171,0.0189741156672532,6.7331695488456935,0.00946362922210056,1.0448102995439401,17,0.0017000000000000001,False,0.0001,False
open source frameworks,0,326,0.0,0.028531419569403117,-0.028531419569403117,6.692370878786711,0.009682635177940773,-2.5983679082797173,18,0.0018,False,0.0001,False
data transformation,5,82,0.021929824561403508,0.007176614738316121,0.014753209823087386,6.566548109348593,0.010391330422710711,1.2190267088083602,19,0.0019,False,0.0001,False
risk management,0,317,0.0,0.027743742342026957,-0.027743742342026957,6.502446035274584,0.010772618862154458,-2.5696053321064585,20,0.002,False,0.0001,False
agile practices,0,315,0.0,0.027568702958165586,-0.027568702958165586,6.4602814582041885,0.011031217039960397,-2.5631061858539494,21,0.0021000000000000003,False,0.0001,False
ai,8,166,0.03508771929824561,0.01452826886049361,0.020559450437752,6.424449909942153,0.011255977054399747,0.9582294648700381,22,0.0022,False,0.0001,False
spring framework,7,137,0.03070175438596491,0.011990197794503764,0.018711556591461148,6.413367100634858,0.01132644341328054,1.0224848831338311,23,0.0023,False,0.0001,False
statistics,6,110,0.02631578947368421,0.009627166112375284,0.016688623361308927,6.317664854956436,0.011954095064164552,1.0958766710072696,24,0.0024000000000000002,False,0.0001,False
software engineering,26,2030,0.11403508771929824,0.17766497461928935,-0.0636298868999911,6.229060186579196,0.012567041692728041,-0.5015399421841142,25,0.0025000000000000005,False,0.0001,False
node.js,4,634,0.017543859649122806,0.055487484684053914,-0.03794362503493111,6.219237104054939,0.012636955312043686,-1.0760288701308447,26,0.0026,False,0.0001,False
kubernetes,19,1600,0.08333333333333333,0.14003150708909504,-0.05669817375576171,6.00728167390443,0.014246958774806598,-0.5595425363623682,27,0.0027,False,0.0001,False
modeling,5,86,0.021929824561403508,0.0075266935060388585,0.01440313105536465,5.985576521013652,0.014423327489349942,1.1713279322674586,28,0.0028000000000000004,False,0.0001,False
statistical analysis,5,86,0.021929824561403508,0.0075266935060388585,0.01440313105536465,5.985576521013652,0.014423327489349942,1.1713279322674586,29,0.0029000000000000002,False,0.0001,False
aws,33,2408,0.14473684210526316,0.21074741816908804,-0.06601057606382488,5.882504600214117,0.015292053844988884,-0.4437410645544213,30,0.003,False,0.0001,False
c/c++,16,442,0.07017543859649122,0.038683703833362504,0.03149173476312872,5.871767930081149,0.015385593037309781,0.6562183952633134,31,0.0031000000000000003,False,0.0001,False
scala,4,612,0.017543859649122806,0.05356205146157886,-0.03601819181245605,5.792643371996776,0.016093372758992346,-1.0387041475915606,32,0.0032,False,0.0001,False
product development,9,207,0.039473684210526314,0.01811657622965167,0.021357107980874642,5.605122699485404,0.017908040860428052,0.8502168412243736,33,0.0033000000000000004,False,0.0001,False
embedded software development,5,91,0.021929824561403508,0.007964291965692281,0.013965532595711226,5.336606279542643,0.020882088104365856,1.1146923790322103,34,0.0034000000000000002,False,0.0001,False
agile,22,1727,0.09649122807017543,0.15114650796429197,-0.05465527989411653,5.235088604086512,0.022135680930707387,-0.4913860420613773,35,0.0035000000000000005,False,0.0001,False
critical thinking,9,213,0.039473684210526314,0.01864169438123578,0.020831989829290534,5.1914706127445545,0.02269800127216366,0.8211764219889335,36,0.0036,False,0.0001,False
