source_bucket,ai_mentioning,n,tech_count_mean,tech_count_median,density_per_1k_mean,density_per_1k_median,char_len_mean,char_len_median
arshkon,True,189,6.984126984126984,6.0,4.879533634319544,4.366812227074235,1543.957671957672,1440.0
arshkon,False,4502,5.314304753442914,5.0,5.0491588492451625,3.912618609623485,1319.4749000444247,1227.0
asaniczka,True,510,6.827450980392157,6.0,4.876674430493824,4.247218608463626,1589.492156862745,1458.5
asaniczka,False,17619,5.0476190476190474,4.0,4.232911800803099,2.9013539651837523,1557.6490152676088,1420.0
pooled_2024,True,699,6.869814020028612,6.0,4.877447519940263,4.291845493562231,1577.1802575107297,1451.0
pooled_2024,False,22121,5.10189412775191,4.0,4.399031967707225,3.1372549019607843,1509.176529090005,1383.0
scraped,True,8948,9.357845328565043,9.0,4.189524441112388,3.3140922029368376,2844.4328341528835,2670.5
scraped,False,31933,6.281495631478408,5.0,3.2647028081652394,2.3158869847151458,2570.08862305452,2355.0
