title_normalized,n_arshkon,n_scraped,theme,ai_class,marker,change_class
software engineer,419.0,3635.0,General SWE,other,none,shared
data engineer,155.0,1199.0,Data/Analytics,ai_domain,none,shared
devops engineer,88.0,587.0,DevOps,other,none,shared
java developer,77.0,159.0,General SWE,other,none,shared
full stack engineer,63.0,361.0,Full Stack,other,none,shared
dotnet developer,56.0,10.0,General SWE,other,none,shared
systems engineer,54.0,204.0,Embedded/Systems,other,none,shared
site reliability engineer,51.0,282.0,Reliability/SRE,other,none,shared
salesforce developer,50.0,45.0,General SWE,other,none,shared
machine learning engineer,48.0,397.0,AI/ML,ai_tool_or_domain,none,shared
