title_normalized,n_arshkon,n_scraped,theme,ai_class,marker,change_class
ai/ml engineer,0.0,136.0,AI/ML,ai_tool_or_domain,none,new_2026
software engineer [multiple positions available],0.0,82.0,General SWE,other,none,new_2026
software engineer - java,0.0,39.0,General SWE,other,none,new_2026
"software engineer, platform",0.0,37.0,General SWE,other,none,new_2026
"software engineer, infrastructure",0.0,34.0,General SWE,other,none,new_2026
mobile apps test automation engineer,0.0,30.0,Mobile,other,none,new_2026
software engineer - ctj - poly,0.0,28.0,General SWE,other,none,new_2026
ai developer,0.0,26.0,AI/ML,ai_tool_or_domain,none,new_2026
robotics software engineer,0.0,26.0,General SWE,other,none,new_2026
software engineer - level,0.0,25.0,General SWE,other,none,new_2026
"software engineer, product",0.0,25.0,General SWE,other,none,new_2026
software engineer - frontend,0.0,23.0,Frontend/Web,other,none,new_2026
ai agent engineer,0.0,22.0,AI/ML,ai_tool_or_domain,none,new_2026
"software engineer, data platform",0.0,22.0,Data/Analytics,ai_domain,none,new_2026
backend developer,0.0,21.0,Backend/API,other,none,new_2026
site reliability engineer (sre),0.0,21.0,Reliability/SRE,other,none,new_2026
software engineer - fullstack,0.0,21.0,Full Stack,other,none,new_2026
"software engineer, fullstack",0.0,21.0,Full Stack,other,none,new_2026
software engineer - ios,0.0,19.0,Mobile,other,none,new_2026
forward deployed software engineer,0.0,18.0,General SWE,other,none,new_2026
founding software engineer,0.0,18.0,General SWE,other,none,new_2026
software developer in test (sdet),0.0,18.0,General SWE,other,none,new_2026
ai automation engineer,0.0,17.0,AI/ML,ai_tool_or_domain,none,new_2026
ai solutions engineer,0.0,17.0,AI/ML,ai_tool_or_domain,none,new_2026
"devops engineer,",0.0,17.0,DevOps,other,none,new_2026
full stack ai engineer,0.0,17.0,AI/ML,ai_tool_or_domain,none,new_2026
software qa engineer,0.0,17.0,QA/Testing,other,none,new_2026
systems operations engineer,0.0,17.0,General SWE,other,none,new_2026
software engineer - coreai,0.0,16.0,General SWE,other,none,new_2026
. ai engineer,0.0,15.0,AI/ML,ai_tool_or_domain,none,new_2026
ai data engineer,0.0,15.0,AI/ML,ai_tool_or_domain,none,new_2026
front end engineer,0.0,15.0,Frontend/Web,other,none,new_2026
it software engineer,0.0,15.0,General SWE,other,none,new_2026
software engineer (onsite),0.0,14.0,General SWE,other,none,new_2026
"software engineer, applied ai",0.0,13.0,AI/ML,ai_tool_or_domain,none,new_2026
"data engineer,",0.0,12.0,Data/Analytics,ai_domain,none,new_2026
software engineer (contract),0.0,12.0,General SWE,other,none,new_2026
"software engineer, data",0.0,12.0,General SWE,ai_domain,none,new_2026
(usa) software engineer,0.0,11.0,General SWE,other,none,new_2026
ai / ml engineer,0.0,11.0,AI/ML,ai_tool_or_domain,none,new_2026
data science engineer,0.0,11.0,General SWE,ai_domain,none,new_2026
entry level software developer,0.0,11.0,General SWE,other,none,new_2026
software engineer (hogan ids),0.0,11.0,General SWE,other,none,new_2026
software engineer - ai/ml,0.0,11.0,AI/ML,ai_tool_or_domain,none,new_2026
software engineer level,0.0,11.0,General SWE,other,none,new_2026
"software engineer, observability",0.0,11.0,General SWE,other,none,new_2026
"software engineer, site reliability engineering",0.0,11.0,Reliability/SRE,other,none,new_2026
application software engineer,0.0,10.0,General SWE,other,none,new_2026
c++ software engineer,0.0,10.0,General SWE,other,none,new_2026
embedded software development engineer,0.0,10.0,Embedded/Systems,other,none,new_2026
snowflake data engineer,0.0,10.0,Data/Analytics,ai_domain,none,new_2026
software engineer - ai,0.0,10.0,AI/ML,ai_tool_or_domain,none,new_2026
software engineer - front end,0.0,10.0,Frontend/Web,other,none,new_2026
"software engineer, data engineering",0.0,10.0,General SWE,ai_domain,none,new_2026
systems engineer - level,0.0,10.0,Embedded/Systems,other,none,new_2026
. java full stack developer,0.0,9.0,Full Stack,other,none,new_2026
. qa engineer,0.0,9.0,QA/Testing,other,none,new_2026
. software development engineer,0.0,9.0,General SWE,other,none,new_2026
ai engineer intern,0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
ai software developer,0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
aws ai engineer,0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
cno software engineer,0.0,9.0,General SWE,other,none,new_2026
cyber software engineer,0.0,9.0,General SWE,other,none,new_2026
"expert consultant- software engineer, agi - data services",0.0,9.0,General SWE,ai_domain,none,new_2026
forward deployed ai engineer,0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
founding ai engineer,0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
"full stack software engineer,",0.0,9.0,Full Stack,other,none,new_2026
gcp software engineer,0.0,9.0,General SWE,other,none,new_2026
mid-level software engineer,0.0,9.0,General SWE,other,none,new_2026
physical security systems engineer,0.0,9.0,Embedded/Systems,other,none,new_2026
python data engineer,0.0,9.0,Data/Analytics,ai_domain,none,new_2026
remote backend engineer (python/fastapi) – ai evaluation (us-based),0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
remote javascript/react engineer – ai training (us-based),0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
remote software engineer – llm evaluation (us-based),0.0,9.0,AI/ML,ai_tool_or_domain,none,new_2026
