group,n,mean_cosine_distance,p90_cosine_distance
2024-01|junior,149,0.5750112488833223,0.7295692311830881
2024-01|mid,8,0.514904568694065,0.685368458935947
2024-01|senior,9264,0.6044427000727621,0.7882723632467955
2024-01|unknown,6153,0.6323070168035201,0.8334024879623196
2024-04|junior,175,0.6002457382828821,0.7176825086869145
2024-04|mid,15,0.5543514590630779,0.6884683686106945
2024-04|senior,2072,0.6123118712121961,0.7894213312761
2024-04|unknown,2417,0.647358527040235,0.8246392560511494
2026-03|junior,223,0.5353772375975653,0.686692162379499
2026-03|mid,15,0.48803283728952557,0.644272739074395
2026-03|senior,1927,0.5470914281599167,0.7326143483486207
2026-03|unknown,1814,0.5729144919839255,0.7364386139564756
2026-04|junior,62,0.4899575660869457,0.6219922957786583
2026-04|mid,13,0.4527870274624676,0.5432476636537087
2026-04|senior,1026,0.5400805008617603,0.7152630247425563
2026-04|unknown,886,0.5729249764945953,0.74330521084548
