representation,query_uid,query_period,neighbor_uid,neighbor_source,neighbor_period,neighbor_seniority_3level,rank,cosine_distance,cosine_similarity
embedding,linkedin_li-4173823940,2026-03,asaniczka_58d9b27e21b0f1bc,kaggle_asaniczka,2024-01,senior,1,0.20015037059783936,0.7998496294021606
embedding,linkedin_li-4173823940,2026-03,arshkon_3894866836,kaggle_arshkon,2024-04,senior,2,0.28425151109695435,0.7157484889030457
embedding,linkedin_li-4173823940,2026-03,asaniczka_f099ebb2dc840079,kaggle_asaniczka,2024-01,unknown,3,0.28480273485183716,0.7151972651481628
embedding,linkedin_li-4173823940,2026-03,asaniczka_57f37a7e2930ed18,kaggle_asaniczka,2024-01,senior,4,0.2941383123397827,0.7058616876602173
embedding,linkedin_li-4173823940,2026-03,arshkon_3905285559,kaggle_arshkon,2024-04,senior,5,0.29579001665115356,0.7042099833488464
embedding,linkedin_li-4238849288,2026-04,asaniczka_f3c1a8ad0c186292,kaggle_asaniczka,2024-01,senior,1,0.3176140785217285,0.6823859214782715
embedding,linkedin_li-4238849288,2026-04,asaniczka_9090791d8ab1d150,kaggle_asaniczka,2024-01,senior,2,0.3179134130477905,0.6820865869522095
embedding,linkedin_li-4238849288,2026-04,asaniczka_3d30c1dde0973ec2,kaggle_asaniczka,2024-01,unknown,3,0.32759952545166016,0.6724004745483398
embedding,linkedin_li-4238849288,2026-04,arshkon_3904001276,kaggle_arshkon,2024-04,unknown,4,0.328991174697876,0.671008825302124
embedding,linkedin_li-4238849288,2026-04,asaniczka_205c62cd368acf90,kaggle_asaniczka,2024-01,senior,5,0.3293672800064087,0.6706327199935913
embedding,linkedin_li-4262545420,2026-03,arshkon_3895584708,kaggle_arshkon,2024-04,unknown,1,0.3937090039253235,0.6062909960746765
embedding,linkedin_li-4262545420,2026-03,asaniczka_e0448fa3ef040970,kaggle_asaniczka,2024-01,senior,2,0.44178593158721924,0.5582140684127808
embedding,linkedin_li-4262545420,2026-03,arshkon_3895587299,kaggle_arshkon,2024-04,unknown,3,0.44957005977630615,0.5504299402236938
embedding,linkedin_li-4262545420,2026-03,arshkon_3895587302,kaggle_arshkon,2024-04,unknown,4,0.45602571964263916,0.5439742803573608
embedding,linkedin_li-4262545420,2026-03,asaniczka_58012b759b964ad4,kaggle_asaniczka,2024-01,unknown,5,0.4643533229827881,0.5356466770172119
embedding,linkedin_li-4262546412,2026-03,asaniczka_d20cf8d562d347e0,kaggle_asaniczka,2024-01,unknown,1,0.26482194662094116,0.7351780533790588
embedding,linkedin_li-4262546412,2026-03,asaniczka_4d199bf34d1d6167,kaggle_asaniczka,2024-01,senior,2,0.30461835861206055,0.6953816413879395
embedding,linkedin_li-4262546412,2026-03,asaniczka_853815ff0bfcce8e,kaggle_asaniczka,2024-01,senior,3,0.31553512811660767,0.6844648718833923
embedding,linkedin_li-4262546412,2026-03,asaniczka_57d85239379004a5,kaggle_asaniczka,2024-01,senior,4,0.3369022607803345,0.6630977392196655
embedding,linkedin_li-4262546412,2026-03,asaniczka_0264855fa1f4c0b7,kaggle_asaniczka,2024-01,senior,5,0.3379247188568115,0.6620752811431885
