period,seniority_3level,n,median,mean,p25,p75,p90
2024,junior,773,5.0,5.7619663648124195,2.0,9.0,13.0
2024,mid,1591,4.0,4.783783783783784,1.0,7.0,12.0
2024,senior,18128,5.0,6.052956751985878,2.0,9.0,13.0
2024,ALL,21301,5.0,5.949438993474485,2.0,9.0,13.0
2026,junior,3405,6.0,7.246108663729809,3.0,11.0,15.0
2026,mid,870,7.0,7.850574712643678,3.0,11.0,16.0
2026,senior,23628,8.0,8.949509057050957,4.0,13.0,17.0
2026,ALL,30036,8.0,8.777034225595951,4.0,12.0,17.0
