skill,n_entry_total,n_ms_total,n_skill_entry,n_skill_ms,pct_entry,pct_ms,delta_entry_minus_ms,chi2,p,q_fdr
Microsoft Office Suite,61,3681,5,41,0.08196721311475409,0.011138277641945124,0.07082893547280897,24.79311361566118,6.382508496571778e-07,0.0002776391196008723
ObjectOriented Programming,61,3681,5,43,0.08196721311475409,0.011681608258625374,0.07028560485612872,23.4096047084863,1.3092321656301883e-06,0.00028475799602456595
Systems Engineering,61,3681,8,275,0.13114754098360656,0.07470795979353437,0.0564395811900722,2.73419826200542,0.09822078297666484,0.6665173295852914
Software Testing,61,3681,5,111,0.08196721311475409,0.03015484922575387,0.05181236388900022,5.3626624408854635,0.020572342857334495,0.5264099495847356
Multitasking,61,3681,4,64,0.06557377049180328,0.017386579733767997,0.048187190758035285,7.809344606676754,0.005197675149949647,0.2055444263843724
Mechanical Engineering,61,3681,4,64,0.06557377049180328,0.017386579733767997,0.048187190758035285,7.809344606676754,0.005197675149949647,0.2055444263843724
Teamwork,61,3681,8,307,0.13114754098360656,0.08340124966041837,0.047746291323188195,1.7744103601839918,0.18283720272339693,0.6665173295852914
Javascript,61,3681,4,69,0.06557377049180328,0.018744906275468622,0.046828864216334656,6.879487927629372,0.00871905403782814,0.29175296203501855
Bachelor's Degree,61,3681,5,136,0.08196721311475409,0.036946481934256994,0.0450207311804971,3.3541485256590273,0.06703587062201057,0.6665173295852914
Aerospace Engineering,61,3681,3,28,0.04918032786885246,0.007606628633523499,0.041573699235328956,12.623626228890915,0.00038090170569903654,0.0552307473263603
Data visualization,61,3681,3,29,0.04918032786885246,0.007878293941863623,0.041302033926988835,12.073089659659225,0.0005115485369881957,0.05563090339746628
Data Structures,61,3681,4,90,0.06557377049180328,0.02444987775061125,0.041123892741192034,4.143861082992283,0.041785756054452436,0.6665173295852914
SVN,61,3681,3,30,0.04918032786885246,0.008149959250203748,0.04103036861864871,11.55685062154196,0.0006750008978844214,0.05872507811594466
Cameo,61,3681,3,31,0.04918032786885246,0.008421624558543873,0.040758703310308585,11.07188359340871,0.0008764660222835265,0.06354378661555567
Excel,61,3681,3,32,0.04918032786885246,0.008693289866883998,0.040487038001968456,10.615508828739452,0.0011214309025257072,0.06968892037124037
Paid Time Off,61,3681,3,35,0.04918032786885246,0.009508285791904374,0.039672042076948084,9.395371839646183,0.002175338794677878,0.11828404696060961
Organizational Skills,61,3681,3,39,0.04918032786885246,0.010594947025264874,0.038585380843587584,8.049965210367633,0.004550452820215151,0.2055444263843724
Data Analysis,61,3681,4,101,0.06557377049180328,0.02743819614235262,0.03813557434945066,3.1998337783457393,0.07364575483401087,0.6665173295852914
Modeling,61,3681,3,41,0.04918032786885246,0.011138277641945124,0.038042050226907334,7.4732185232134265,0.006262349922548656,0.2270101846923888
MVC,61,3681,3,47,0.04918032786885246,0.012768269491985873,0.036412058376866584,6.034734939980582,0.014027056888578431,0.4358406961808298
Product Development,61,3681,3,50,0.04918032786885246,0.013583265417006248,0.03559706245184621,5.445568580249311,0.019618028473963624,0.5264099495847356
Computer Science,61,3681,9,427,0.14754098360655737,0.11600108666123336,0.03153989694532401,0.5798699950077619,0.44636328324752483,0.6665173295852914
Automation,61,3681,5,189,0.08196721311475409,0.05134474327628362,0.030622469838470473,1.144707493061412,0.28465980357712894,0.6665173295852914
Validation,61,3681,3,72,0.04918032786885246,0.019559902200488997,0.02962042566836346,2.68046322367824,0.10158617475383054,0.6665173295852914
US Citizenship,61,3681,3,73,0.04918032786885246,0.019831567508829123,0.029348760360023336,2.5976037763477198,0.10702542177265582,0.6665173295852914
Programming,61,3681,3,75,0.04918032786885246,0.020374898125509373,0.028805429743343085,2.439484626120209,0.11831509234575206,0.6665173295852914
Bachelor's degree,61,3681,3,79,0.04918032786885246,0.021461559358869873,0.027718768509982585,2.1510591899951508,0.1424715723429905,0.6665173295852914
Verification,61,3681,3,79,0.04918032786885246,0.021461559358869873,0.027718768509982585,2.1510591899951508,0.1424715723429905,0.6665173295852914
Scripting,61,3681,3,80,0.04918032786885246,0.021733224667209998,0.02744710320164246,2.0842603380761267,0.14882429291351532,0.6665173295852914
ObjectOriented Design,61,3681,2,28,0.03278688524590164,0.007606628633523499,0.025180256612378143,4.783992793254817,0.02872544231390376,0.6533790908232011
Engineering,61,3681,5,210,0.08196721311475409,0.05704971475142624,0.02491749836332785,0.687961908874173,0.406858477340728,0.6665173295852914
Presentation Skills,61,3681,2,29,0.03278688524590164,0.007878293941863623,0.024908591304038018,4.531532730537455,0.03327580191349837,0.6665173295852914
C/C++,61,3681,4,153,0.06557377049180328,0.04156479217603912,0.024008978315764165,0.8605140823126525,0.35359486929718376,0.6665173295852914
RTOS,61,3681,2,33,0.03278688524590164,0.008964955175224124,0.023821930070677517,3.6750452947983976,0.05523275297149673,0.6665173295852914
ProblemSolving,61,3681,3,95,0.04918032786885246,0.02580820429231187,0.023372123576540588,1.2852610294531726,0.2569231227795867,0.6665173295852914
