period,seniority_3level,n,median_density_per_1k,mean_density_per_1k,median_text_len
2024,junior,773,3.0196275792652236,3.7941143058175513,1743.0
2024,mid,1591,2.2641509433962264,3.563835561841189,1692.0
2024,senior,18128,2.8500178126113287,3.890245789018693,1838.0
2024,ALL,21301,2.873563218390805,3.944759056464344,1814.0
2026,junior,3405,2.107481559536354,2.922345287226449,2657.0
2026,mid,870,2.4728288452671987,3.185890923574446,2885.0
2026,senior,23628,2.450980392156863,3.0170986288937267,3315.0
2026,ALL,30036,2.4177949709864603,2.995359284375077,3263.0
