period,cluster_id,n_postings,share,cluster_name,cluster_label
2024-01,0,1940,0.08800979902917026,Delivery / infrastructure engineer,C0: Delivery / infrastructure engineer
2024-01,1,2281,0.1034795626729574,Tech lead / manager,C1: Tech lead / manager
2024-01,2,1440,0.06532686113505422,Tech lead / manager,C2: Tech lead / manager
2024-01,3,78,0.003538538311482103,AI-augmented product engineer,C3: AI-augmented product engineer
2024-01,4,10841,0.4918114594202241,General SWE,C4: General SWE
2024-01,5,5463,0.24783377943111193,Foundational / junior SWE,C5: Foundational / junior SWE
2024-04,0,616,0.13278723862901487,Delivery / infrastructure engineer,C0: Delivery / infrastructure engineer
2024-04,1,621,0.13386505712438027,Tech lead / manager,C1: Tech lead / manager
2024-04,2,431,0.0929079543004958,Tech lead / manager,C2: Tech lead / manager
2024-04,3,51,0.01099374865272688,AI-augmented product engineer,C3: AI-augmented product engineer
2024-04,4,1795,0.3869368398361716,General SWE,C4: General SWE
2024-04,5,1125,0.2425091614572106,Foundational / junior SWE,C5: Foundational / junior SWE
2026-03,0,738,0.17091245947197778,Delivery / infrastructure engineer,C0: Delivery / infrastructure engineer
2026-03,1,379,0.08777211672070404,Tech lead / manager,C1: Tech lead / manager
2026-03,2,294,0.06808707735062529,Tech lead / manager,C2: Tech lead / manager
2026-03,3,526,0.12181565539601667,AI-augmented product engineer,C3: AI-augmented product engineer
2026-03,4,1376,0.31866604909680407,General SWE,C4: General SWE
2026-03,5,1005,0.23274664196387215,Foundational / junior SWE,C5: Foundational / junior SWE
