period,archetype,n,share
2024-01,classic_senior,16025,0.7767813863305866
2024-01,new_senior,4307,0.20877363063499757
2024-01,mixed,298,0.014444983034415899
2024-04,new_senior,756,0.2697110239029611
2024-04,classic_senior,1995,0.7117374241883696
2024-04,mixed,52,0.01855155190866928
2026-03,new_senior,1631,0.48268718555785733
2026-03,classic_senior,1606,0.47528854690736905
2026-03,mixed,142,0.042024267534773604
