company_name_canonical,period2,n,score_mean,tell_density_mean
AMD,2024,24,-0.1692221352640907,0.3420293254952738
AMD,2026,26,0.25782013992021385,0.3610501642878741
ASK Consulting,2024,17,-0.13974805937715548,0.35552036995024117
ASRC Federal,2024,17,-0.22025676147995973,0.136529721335653
ASSA ABLOY Group,2024,12,-0.11569902048827518,0.5287101602660679
AbbVie,2024,10,0.03802414002470088,0.3064240865753651
Abbott,2024,55,0.07617743810631027,0.29774631738987517
Acceler8 Talent,2026,13,0.10480227106070507,0.3784317562535582
Accenture,2024,12,-0.28616914187668,0.100080064051241
Accenture,2026,16,0.14841743548077388,0.5424706784590412
Acclaim Technical Services,2024,21,-0.2054009131681912,0.11322586602380263
Accroid Inc,2024,63,-0.2983005297697053,0.2754060159133731
Actalent,2024,36,-0.2238588579326919,0.08999829591153623
Actalent,2026,72,0.23010303064758958,0.3245035053413053
Adame Services LLC,2024,40,-0.3602742328604231,0.14919638276884167
Aditi Consulting,2024,25,0.07946196441931819,0.3161609072572531
Adobe,2024,16,-0.12222147892513788,0.5426227412973426
Adobe,2026,41,0.18324748711844233,0.32231297714176665
Agile Tech Labs,2024,15,-0.4056559120716465,0.1687958253277331
Agoda,2024,11,-0.037835338567109716,0.48151508211135763
Ahold Delhaize USA,2026,13,0.17960656534289937,0.23760910423678094
"Akina, Inc",2026,26,0.3322970544060509,0.6903228632743965
Akkodis,2024,43,-0.2579141588358943,0.15377373886613957
Akkodis,2026,19,0.13680238307889803,0.2956383608649637
Akkodis Group Nordics,2026,38,0.12463618735732694,0.36415820698058954
Alignerr,2026,52,0.8263930727882383,0.22088609875447965
AllSTEM Connections,2024,11,0.05530483019586177,0.26976325104562754
Allnessjobs,2024,16,-0.09163708954867288,0.11678036828726159
Amazon,2024,165,-0.1358537915698022,0.2936923816616185
Amazon,2026,116,0.15484574612493626,0.42892392209680896
Amazon Web Services (AWS),2024,105,-0.1094545903197562,0.24608556342058935
Amazon Web Services (AWS),2026,101,0.15884335400150157,0.22322438440873507
Ampstek,2024,15,-0.20464428610542154,0.3906731002370062
Amtex Systems Inc.,2024,13,-0.40434294430754775,0.049214322004487505
Andiamo,2026,16,0.16533716651619382,0.20593259171655495
Anduril Industries,2024,50,-0.059512595544712665,0.48606674845427783
Anduril Industries,2026,82,0.30679984291934,0.6067445690495953
Anthropic,2026,40,0.38886681029355963,0.3099088837664562
"Anveta, Inc",2024,10,-0.39452240438621367,0.11402508551881414
Apex Systems,2024,75,-0.23423761129227325,0.20374930096062133
Apex Systems,2026,46,0.10533502018975324,0.11691921380499058
Applied Intuition,2026,18,0.17451071112743316,0.5340969607030543
Arcfield,2024,12,0.14413726839168042,0.12215300648150496
Ascendion,2024,13,-0.22166996161630725,0.07519362358072036
Astrion,2024,10,0.19744715122227824,0.22850300276937965
Atlassian,2024,11,-0.2229542359172738,0.25402097111212735
Aurora,2026,11,0.24293453633520057,0.6246549817542367
Avesta Computer Services,2024,12,-0.055865877133369664,0.22448137129398774
Axon,2026,16,0.3493850299771721,0.5486483077782474
"BAE Systems, Inc.",2024,50,-0.014115366472566091,0.20414343907654975
"BAE Systems, Inc.",2026,40,0.19696978072465138,0.2735986139361063
BCforward,2024,13,-0.05146099903242264,0.06492401658637312
BCforward,2026,10,0.16447907285877103,0.36105135745352984
BLUE ORIGIN,2024,102,0.0964342440233735,0.1484889556480796
BLUE ORIGIN,2026,22,0.31064756371784474,0.19722704799488147
BNY,2026,10,0.1342847614838097,0.3456942392700789
Ball Aerospace,2024,15,0.10321435775400897,0.02813058919285531
Barrington James,2024,10,-0.16906500284211495,0.31056700210272414
Base-2 Solutions,2026,12,0.3707072278948633,0.06395497569710924
Bayforce,2024,10,-0.3139673490475998,0.15274878531535535
Belay Technologies,2024,48,-0.04761381404228104,0.08983996140586065
Belcan,2024,21,-0.2007267829384785,0.07083815686123267
BioSpace,2024,25,0.01222308718202437,0.26588284470035617
BioSpace,2026,10,0.32056113995468716,0.5874678717136754
BlackRock,2026,13,0.6265745286944979,0.44736361363785193
Bloomberg,2026,23,0.25907813697858917,0.552210404678136
Boeing,2026,28,0.29379989614990915,0.1491069616499259
Booz Allen Hamilton,2024,10,-0.21292402660281295,0.21958725120620093
Booz Allen Hamilton,2026,94,0.03184083572974663,0.2733358218072609
Bowman Williams,2024,46,0.13063964976321146,0.08296058952615103
Brooksource,2024,28,-0.10076274414707054,0.2646462137789079
ByteDance,2024,38,-0.20482518875434833,0.27813245315484
ByteDance,2026,48,0.008020258530630358,0.331296605673927
CACI International Inc,2024,51,-0.07399599333360438,0.15269976330557522
CACI International Inc,2026,24,0.27583869486143126,0.28501317131034654
CGI,2024,23,-0.06737257556660509,0.3811080660042051
CGI,2026,27,0.20841029787106016,0.38645951279397367
CNA Search,2024,12,-0.364823253298725,0.0
CVS Health,2024,21,0.05388890171022166,0.5468087985434634
CVS Health,2026,11,0.3347939583125555,0.2822873142353231
Cadence,2026,17,-0.10092155934227348,0.09369879220474449
Cadence Design Systems,2024,13,-0.15519344674143143,0.10591275154616785
Capgemini,2024,23,-0.1863202222419979,0.33568974933688367
Capgemini,2026,40,0.16548627655624543,0.18505306814305528
Capgemini Engineering,2024,16,-0.15046424257958466,0.227742160533879
Capital One,2024,612,-0.024682845042707294,0.7397499924101358
Capital One,2026,81,0.1663887498013746,0.44623027920214137
Captivation,2024,37,-0.4657515804328152,0.03304038765319797
Central Business Solutions Inc.,2024,16,-0.3507983975651504,0.020444880601897284
Centraprise,2024,17,-0.23653241578104578,0.13971359200930142
Charles Schwab,2026,15,0.22375741484908881,0.28132570345211516
Chewy,2026,12,0.19019040859391592,0.21715124749930603
Cisco,2026,31,0.14541157241860836,0.4722276573779936
Citigroup,2026,33,0.3058816876806177,0.35080098206470534
ClearanceJobs,2024,844,-0.024082306524682903,0.1648213556382589
ClickJobs.io,2024,152,-0.08988803843322858,0.3342895271129914
Cloudflare,2024,26,-0.12856888068115666,0.3671000725362274
Clover,2024,10,-0.2196498619864041,0.11829295305198984
CodeMonk,2024,25,0.1006441388403638,0.130197141150376
Cognizant,2024,20,0.029282282652704418,0.5227851329726517
Cognizant,2026,18,0.3991961543522762,0.8744144168521562
Collabera,2024,18,-0.5278960116981697,0.0
Collins Aerospace,2024,65,-0.04699150996306231,0.132313428871009
Collins Aerospace,2026,10,0.220486197479268,0.15153852649383645
Columbia Technology Partners,2024,26,-0.08420355287319317,0.12802648169738842
Compunnel Inc.,2024,47,-0.12978755444343504,0.1484415966443475
"Conch Technologies, Inc",2024,66,-0.3382323421376666,0.2721328977211914
Confidential,2024,10,-0.19283181334712196,0.1763982049956087
ConsultNet,2024,13,-0.38511301243883234,0.12959639428228542
ConsultNet Technology Services and Solutions,2026,10,0.1522352713378518,0.40783972419386405
CoreWeave,2026,17,0.3311768132089201,0.1941742095177149
Crossing Hurdles,2026,13,0.07883893935158856,0.0834306691139663
CrowdDoing,2024,30,-0.36630249618380345,0.02646019156745513
CrowdStrike,2026,10,0.3286711442043731,0.3847781134679463
Crusoe,2026,11,0.32783155135324243,0.4966782127626642
CyberArk,2026,11,0.1469197209397719,0.08069943558316776
CyberCoders,2024,95,-0.22755003781539093,0.24374939731921694
CyberCoders,2026,51,0.027841369789164044,0.3938877541985968
Cynet Systems,2026,11,0.2880876724185854,0.31097325892996225
DApp360 Workforce,2024,15,-0.25105132858545226,0.2693670572682881
Damco Solutions,2024,11,-0.3649902800831628,0.12300890925665268
DataAnnotation,2026,24,-0.32155887514467324,0.07844461789306231
Databricks,2024,14,-0.2083171811909719,0.23472513065839998
Databricks,2026,15,0.1937239513560077,0.5698382801601839
Deloitte,2024,22,-0.24324005243550512,0.04417042790143297
Deloitte,2026,15,0.24753987894664958,0.43385027599156106
Dexian,2024,11,-0.13666984566037588,0.12626823915410143
Dezign Concepts,2024,15,0.019674770186002652,0.5367379547677215
Dice,2024,71,-0.182199191253468,0.2665440621638971
Discover Financial Services,2024,93,0.03705373506948437,0.3396029850632786
Diverse Lynx,2024,84,-0.2367270374939361,0.12212954107078469
"Donato Technologies, Inc.",2024,21,-0.2531682759094232,0.1582697980381374
DoorDash,2026,10,0.18022098854495433,0.2807246403610573
Draper,2024,17,-0.04714906999821194,0.3423792841210508
EPITEC,2024,15,-0.037723380126286135,0.2506343772815591
ESPN,2024,29,0.03617206616482733,0.5286282905943724
EVONA,2024,26,-0.33738866440035525,0.21191022451583366
Early Warning®,2026,13,0.44650256241498926,0.12966158890412596
Ekodus,2024,14,-0.30525162078703516,0.1028657684741411
Eliassen Group,2024,18,-0.2643002446053117,0.25255268177061907
Eliassen Group,2026,10,0.26885839132950695,0.24440248132342862
Empower Professionals,2024,10,-0.4362578741941755,0.05711022272986864
Energy Jobline,2024,66,-0.10615225275213609,0.24091139697562047
Enexus Global Inc.,2024,10,-0.3420653262835723,0.2738486310756539
Equifax,2026,10,0.27571069429172435,0.16371469215875517
Erias Ventures,2026,14,-0.03020160009513611,0.03242331885091758
Esri,2026,14,0.12801566564356698,0.15891870799015145
Expedia Group,2026,23,0.31868955225909323,0.3343346998734408
Experfy,2024,32,-0.09581179762441103,0.13374263515731183
Experis,2024,40,-0.1820068294374794,0.15636907490039198
Experis,2026,15,0.015243536990158952,0.41522703114547677
Extend Information Systems Inc.,2024,53,-0.38627474155405295,0.05839100933354754
FIS,2024,56,-0.1532331705643489,0.15885728725321988
"Farfield Systems, Inc",2024,25,-0.2015807319844053,0.040110217124998314
Fidelity Investments,2024,29,-0.1036275242606401,0.34294573629599606
Fidelity Investments,2026,19,0.2634446021604913,0.41274914321735895
Five Cubes,2024,24,-0.36416657725923707,0.05235304698520293
Ford Motor Company,2024,14,-0.027345686908776336,0.2983805431344963
Ford Motor Company,2026,15,0.4540677640808885,0.6783635665827832
Fortinet,2024,11,-0.09751639136061913,0.1420467296687855
Forward,2024,18,-0.2759690275750303,0.12880414020410755
Franklin Fitch,2024,10,-0.4619895461080884,0.0
Futran Solutions,2024,13,-0.1378191809605042,0.04982064567556795
GA-CCRi,2024,10,-0.06442028157111326,0.03875217981011432
GE Aerospace,2024,12,-0.00022032274062558366,0.1253256510836442
GE HealthCare,2024,10,-0.06779111623085775,0.10024221580625943
GEICO,2026,21,0.29156708748361043,0.4660352339008545
Gables Search Group,2024,14,-0.2654170224000516,0.05082220513847711
Garmin,2024,15,-0.20137612676010638,0.0961441579517645
Garmin,2026,18,0.07965590989720887,0.015002850541602905
Generac Grid Services,2024,12,0.13590589380134807,0.40490472035802316
General Dynamics Information Technology,2024,20,-0.004045057643851871,0.11961735881609666
General Dynamics Information Technology,2026,24,0.15564408899056223,0.11339026792340025
General Dynamics Mission Systems,2024,17,-0.31457506999848,0.1648448903420672
General Dynamics Mission Systems,2026,16,-0.04662232754352073,0.08318525242564051
General Motors,2024,14,-0.09231324311817922,0.21635511821738934
General Motors,2026,55,0.31364145864179505,0.4412027824867676
Genpact,2024,11,-0.03944019682959829,0.22292981108594143
GliaCell Technologies,2024,24,-0.4064687576155221,0.0
Global Information Technology,2024,16,-0.38201251221622706,0.36358067713600606
Goldman Sachs,2024,35,0.03568419976555004,0.524282334194573
Goldman Sachs,2026,15,0.35303962412379647,0.8510518021013103
Goliath Partners,2026,10,-0.3780835123152335,0.0
Google,2024,33,-0.19313163580941814,0.1012017966400063
Google,2026,242,0.09549197483099117,0.3038481407992474
"Grey Matters Defense Solutions, LLC",2024,10,-0.2953134847241009,0.05162622612287042
Guidehouse,2024,12,-0.21502927245894135,0.09758000217276004
H-E-B,2024,11,-0.00659296158134722,0.18105529261256523
HCLTech,2024,17,-0.11622297086195585,0.11116192079572834
HTC Global Services,2024,19,-0.15708059613734274,0.35610894702423507
Harnham,2024,17,-0.1762322433941661,0.4761608190386761
Harnham,2026,14,0.29029474475722095,0.20131302935707793
Harvey,2026,10,0.39727308578536735,0.694359608321075
Haystack,2026,103,0.1477486667332058,0.8165010463605951
Hermitage Infotech,2024,22,-0.44110046738267317,0.08983312369970414
"HireIO, Inc.",2024,10,-0.19009128922314444,0.325842963383763
HireKeyz Inc,2024,16,-0.20938059126444486,0.20571164359223837
HireTalent - Diversity Staffing & Recruiting Firm,2024,36,-0.1593815459306862,0.1827350967569841
Honeywell,2024,40,-0.09122486692458946,0.2541292283716548
Honeywell,2026,14,0.4251608380433219,0.5842626975535848
Horizontal Talent,2026,12,0.3441226618977394,1.2759696348942915
Hudson River Trading,2024,11,-0.16352546347802313,0.44843350284959893
IBM,2026,20,0.36428976386712264,0.5303896484581629
ICE,2024,26,-0.17874248742111723,0.25515863908751774
ICE,2026,22,0.21520525311968533,0.31429451839893585
"IDR, Inc.",2024,12,-0.3255953187465771,0.0
IERUS Technologies Inc,2024,15,-0.25741647893769365,0.06217472067763922
INSPYR Solutions,2024,14,-0.1311387226842458,0.16956722736020471
Infinite Computer Solutions,2024,16,-0.2559650585176912,0.024586939417781273
Infosys,2024,42,0.03855447506982237,0.03363557998741514
Infosys,2026,14,0.12693842393987367,0.26497140065425623
Innovation Works,2024,17,-0.30172600809830674,0.14284412470343982
Innovative Defense Technologies (IDT),2024,10,-0.042050554755713704,0.37789422627495683
Inside Higher Ed,2026,20,0.39033753257480575,0.4118536916687502
Insight Global,2024,60,-0.28791915296981313,0.12897390845828283
Insight Global,2026,27,0.07686673211400362,0.3011173904743143
Insulet Corporation,2026,15,0.1368501048297145,0.05030948160129838
Intel,2026,10,0.4551311503514629,0.9321047076115467
Intellectt Inc,2024,87,-0.2769630955349845,0.11577158185132892
Intuit,2024,17,-0.0026626938148558497,0.5118012280389254
Intuit,2026,31,0.4672839987966922,0.6574861516794155
Intuitive,2024,16,-0.13280359007152895,0.1954797679818365
Iridium,2024,12,-0.13002618640978272,0.23908502905536322
JPMorgan Chase & Co.,2024,12,-0.22892906662918858,0.03155370440489714
JPMorgan Chase & Co.,2026,204,0.19479711701591068,0.3618891079048565
Jack & Jill,2026,19,-0.12263958710692108,0.5206570320292441
Jobot,2024,64,-0.1252212822272161,0.5561334523207003
Jobot,2026,31,0.0505968566757282,0.4990588173332226
Jobs for Humanity,2024,157,-0.04201308496212192,0.5604289969714757
Jobs via Dice,2026,649,0.05681040438199591,0.3119887215144608
Jobs via eFinancialCareers,2024,21,-0.1958410083930441,0.23181455312123006
Judge Group,2024,19,-0.17822333984272712,0.09133121235153625
"KBR, Inc.",2024,16,-0.1795192714633109,0.10059434248933065
KG Invicta Services (KGiS),2024,11,-0.3485388951353008,0.17735255518846732
KLA,2024,23,-0.2893922025901586,0.05071698170702743
KPMG US,2024,61,-0.32210234965304785,0.0189738919247116
"Kelly Science, Engineering, Technology & Telecom",2024,12,-0.11338476005704011,0.031758130081300816
Keylent Inc,2024,41,-0.41515736831066213,0.09191094773417237
Kforce Inc,2024,96,-0.13322607101256143,0.30373083533464945
Kforce Inc,2026,41,0.09266385639104376,0.3710929810022688
Kikoff,2026,12,0.08839132150771817,0.40090031667372883
