score_decile,2024,2026,delta,metric
0,846.385864374403,615.7608695652174,-230.62499480918564,clean_len
1,1616.2250886810707,1183.1015873015874,-433.1235013794833,clean_len
2,1959.95789828225,1504.9731543624162,-454.9847439198338,clean_len
3,2216.1073950204386,1688.4979310344827,-527.6094639859559,clean_len
4,2507.6913223140496,1959.293172690763,-548.3981496232866,clean_len
5,2699.683723196881,2158.241202346041,-541.4425208508401,clean_len
6,3014.018099547511,2423.9047330097087,-590.1133665378024,clean_len
7,3193.135079255686,2704.9312977099235,-488.20378154576247,clean_len
8,3458.2914837576823,3043.8036890645585,-414.48779469312376,clean_len
9,3668.278481012658,3655.5380875202595,-12.740393492398653,clean_len
0,4.078637376631646,3.5181159420289854,-0.560521434602661,requirement_breadth
1,5.518219929055143,4.85079365079365,-0.6674262782614928,requirement_breadth
2,6.174469518356349,5.619686800894854,-0.554782717461495,requirement_breadth
3,6.292084726867335,5.844137931034483,-0.447946795832852,requirement_breadth
4,6.444628099173554,6.428714859437751,-0.015913239735803053,requirement_breadth
5,6.554093567251462,6.521994134897361,-0.03209943235410062,requirement_breadth
6,6.649886877828054,6.933252427184466,0.2833655493564118,requirement_breadth
7,6.703652653342522,7.076335877862595,0.3726832245200731,requirement_breadth
8,6.822651448639157,7.480017566974089,0.6573661183349317,requirement_breadth
9,7.055907172995781,7.894246353322528,0.8383391803267477,requirement_breadth
0,3.6892709328239413,3.6557971014492754,-0.03347383137466586,tech_count
1,4.408255401483393,4.542857142857143,0.13460174137374992,tech_count
2,5.0983496126641965,4.767337807606264,-0.3310118050579325,tech_count
3,4.84429580081754,4.84551724137931,0.001221440561770315,tech_count
4,4.930165289256198,5.198795180722891,0.26862989146669314,tech_count
5,5.076510721247564,5.57258064516129,0.4960699239137263,tech_count
6,4.954185520361991,6.074635922330097,1.1204504019681067,tech_count
7,4.938662991040662,6.106361323155216,1.1676983321145542,tech_count
8,5.093064091308165,6.593324549846289,1.5002604585381247,tech_count
9,5.875527426160337,7.462317666126419,1.5867902399660814,tech_count
0,0.9395097102833493,0.34057971014492755,-0.5989300001384217,credential_stack_depth
1,1.4837149306675266,0.7015873015873015,-0.782127629080225,credential_stack_depth
2,1.7036039070394071,0.8232662192393736,-0.8803376878000335,credential_stack_depth
3,1.7952434039390561,1.0662068965517242,-0.729036507387332,credential_stack_depth
4,1.8801652892561984,1.2971887550200802,-0.5829765342361182,credential_stack_depth
5,1.980019493177388,1.1686217008797655,-0.8113977922976225,credential_stack_depth
6,2.069004524886878,1.1577669902912622,-0.9112375345956159,credential_stack_depth
7,2.0303239145416954,1.2188295165394403,-0.8114943980022551,credential_stack_depth
8,2.0351185250219492,1.297760210803689,-0.7373583142182603,credential_stack_depth
9,1.8881856540084387,1.276742301458671,-0.6114433525497678,credential_stack_depth
0,0.06844953836357848,0.23550724637681159,0.1670577080132331,any_ai_narrow
1,0.10641728474685586,0.35555555555555557,0.2491382708086997,any_ai_narrow
2,0.0956551027281913,0.39149888143176736,0.29584377870357603,any_ai_narrow
3,0.115570419918246,0.39586206896551723,0.2802916490472712,any_ai_narrow
4,0.10413223140495868,0.428714859437751,0.3245826280327923,any_ai_narrow
5,0.13499025341130605,0.436950146627566,0.30195989321625993,any_ai_narrow
6,0.10690045248868778,0.4557038834951456,0.34880343100645783,any_ai_narrow
7,0.12474155754651964,0.46208651399491096,0.33734495644839135,any_ai_narrow
8,0.12291483757682177,0.5010979358805446,0.3781830983037229,any_ai_narrow
9,0.09599156118143459,0.5790113452188006,0.483019784037366,any_ai_narrow
0,0.021330786373766317,0.11231884057971014,0.09098805420594383,any_ai_broad
1,0.027410512737826506,0.1492063492063492,0.1217958364685227,any_ai_broad
2,0.03469181542606938,0.2058165548098434,0.171124739383774,any_ai_broad
3,0.03827573392790784,0.1489655172413793,0.11068978331347146,any_ai_broad
4,0.03512396694214876,0.1576305220883534,0.12250655514620465,any_ai_broad
5,0.04532163742690058,0.18255131964809385,0.13722968222119325,any_ai_broad
6,0.04920814479638009,0.20691747572815533,0.15770933093177525,any_ai_broad
7,0.04410751206064783,0.21374045801526717,0.16963294595461934,any_ai_broad
8,0.0456540825285338,0.26613965744400525,0.22048557491547144,any_ai_broad
9,0.04852320675105485,0.3358995137763371,0.2873763070252822,any_ai_broad
0,0.06792648767405746,0.08839510330337465,0.02046861562931719,scope_density
1,0.1083641788505491,0.12099965482466585,0.012635475974116753,scope_density
2,0.0963163179877725,0.17393117656540757,0.07761485857763507,scope_density
3,0.10501304573078873,0.16071241304979544,0.05569936731900671,scope_density
4,0.11676982331155154,0.1765523220939464,0.05978249878239485,scope_density
5,0.13474512791771004,0.17860474124770742,0.04385961332999738,scope_density
6,0.1247449782463688,0.1739895533785796,0.0492445751322108,scope_density
7,0.1303671978299058,0.1851190167360392,0.0547518189061334,scope_density
8,0.1360348111198834,0.21195306635592318,0.07591825523603979,scope_density
9,0.13121800352486626,0.21412432906350934,0.08290632553864308,scope_density
