company_name_canonical,period2,n,score_mean,tell_density_mean
"Verticalmove, Inc",2024,10,0.3022161648562455,1.2873790223283312
Rose International,2024,10,0.21457802992894143,0.0
Visa,2024,15,0.20586362398713645,0.3660509814314457
Astrion,2024,10,0.19744715122227824,0.22850300276937965
"Pinnacle Group, Inc.",2024,14,0.18700397888231088,0.14324144455437965
Shield AI,2024,12,0.185020345858493,0.5488956361460937
Arcfield,2024,12,0.14413726839168042,0.12215300648150496
Generac Grid Services,2024,12,0.13590589380134807,0.40490472035802316
Bowman Williams,2024,46,0.13063964976321146,0.08296058952615103
SPECTRAFORCE,2024,25,0.12734088763424295,0.25859294931140175
People Tech Group Inc,2024,18,0.12018369314410113,0.13852629204139247
Ball Aerospace,2024,15,0.10321435775400897,0.02813058919285531
CodeMonk,2024,25,0.1006441388403638,0.130197141150376
Walmart,2024,163,0.0970819047936825,0.35360985091073033
BLUE ORIGIN,2024,102,0.0964342440233735,0.1484889556480796
Leonardo DRS,2024,17,0.0953935386422477,0.16444381796884439
Odyssey Systems,2024,18,0.08243624591975969,0.1330482814016719
Aditi Consulting,2024,25,0.07946196441931819,0.3161609072572531
Abbott,2024,55,0.07617743810631027,0.29774631738987517
MillenniumSoft Inc,2024,31,0.07141966990519684,0.11167059619172948
