spec,archetype,archetype_name,period,n,share_of_period
all_rows,nmf_0,Product Backend Engineering,2024-01,1108,0.06600738710830453
all_rows,nmf_0,Product Backend Engineering,2024-04,367,0.08021857923497268
all_rows,nmf_0,Product Backend Engineering,2026-03,1032,0.1653051417587698
all_rows,nmf_0,Product Backend Engineering,2026-04,851,0.1386671011895063
all_rows,nmf_1,Enterprise Application Support,2024-01,5810,0.34612176814011675
all_rows,nmf_1,Enterprise Application Support,2024-04,1429,0.3123497267759563
all_rows,nmf_1,Enterprise Application Support,2026-03,1131,0.18116290245074484
all_rows,nmf_1,Enterprise Application Support,2026-04,1138,0.18543262180218348
all_rows,nmf_2,Java Dotnet Web Services,2024-01,2973,0.17711187894674132
all_rows,nmf_2,Java Dotnet Web Services,2024-04,1248,0.27278688524590167
all_rows,nmf_2,Java Dotnet Web Services,2026-03,824,0.1319878263655294
all_rows,nmf_2,Java Dotnet Web Services,2026-04,872,0.14208896855140948
all_rows,nmf_3,Cloud DevOps Infrastructure,2024-01,1429,0.08513046586441082
all_rows,nmf_3,Cloud DevOps Infrastructure,2024-04,704,0.15387978142076503
all_rows,nmf_3,Cloud DevOps Infrastructure,2026-03,975,0.1561749159058145
all_rows,nmf_3,Cloud DevOps Infrastructure,2026-04,999,0.16278311878768129
all_rows,nmf_4,Defense Clearance Systems,2024-01,2677,0.15947813654235674
all_rows,nmf_4,Defense Clearance Systems,2024-04,190,0.041530054644808745
all_rows,nmf_4,Defense Clearance Systems,2026-03,443,0.07095947461156495
all_rows,nmf_4,Defense Clearance Systems,2026-04,471,0.07674759654554343
all_rows,nmf_5,AI LLM Platforms,2024-01,451,0.026867627785058978
all_rows,nmf_5,AI LLM Platforms,2024-04,213,0.04655737704918033
all_rows,nmf_5,AI LLM Platforms,2026-03,1039,0.1664263975652731
all_rows,nmf_5,AI LLM Platforms,2026-04,1121,0.1826625386996904
all_rows,nmf_6,Embedded Firmware Systems,2024-01,1359,0.08096032407959014
all_rows,nmf_6,Embedded Firmware Systems,2024-04,241,0.0526775956284153
all_rows,nmf_6,Embedded Firmware Systems,2026-03,515,0.08249239147845587
all_rows,nmf_6,Embedded Firmware Systems,2026-04,452,0.07365162131334528
all_rows,nmf_7,Large Employer Data Platforms,2024-01,979,0.05832241153342071
all_rows,nmf_7,Large Employer Data Platforms,2024-04,183,0.04
all_rows,nmf_7,Large Employer Data Platforms,2026-03,284,0.04549094986384751
all_rows,nmf_7,Large Employer Data Platforms,2026-04,233,0.03796643311064038
exclude_aggregators,nmf_0,Product Backend Engineering,2024-01,1038,0.0734295415959253
exclude_aggregators,nmf_0,Product Backend Engineering,2024-04,356,0.08561808561808562
exclude_aggregators,nmf_0,Product Backend Engineering,2026-03,961,0.18649330487094895
exclude_aggregators,nmf_0,Product Backend Engineering,2026-04,806,0.1573296896349795
exclude_aggregators,nmf_1,Enterprise Application Support,2024-01,5251,0.37146293152235427
exclude_aggregators,nmf_1,Enterprise Application Support,2024-04,1301,0.3128908128908129
exclude_aggregators,nmf_1,Enterprise Application Support,2026-03,971,0.18843392198719192
exclude_aggregators,nmf_1,Enterprise Application Support,2026-04,959,0.1871950029279719
exclude_aggregators,nmf_2,Java Dotnet Web Services,2024-01,2640,0.1867572156196944
exclude_aggregators,nmf_2,Java Dotnet Web Services,2024-04,1123,0.2700817700817701
exclude_aggregators,nmf_2,Java Dotnet Web Services,2026-03,569,0.11042111391422472
exclude_aggregators,nmf_2,Java Dotnet Web Services,2026-04,608,0.11868046066757759
exclude_aggregators,nmf_3,Cloud DevOps Infrastructure,2024-01,1229,0.08694114318053198
exclude_aggregators,nmf_3,Cloud DevOps Infrastructure,2024-04,630,0.15151515151515152
exclude_aggregators,nmf_3,Cloud DevOps Infrastructure,2026-03,790,0.15330875218319426
exclude_aggregators,nmf_3,Cloud DevOps Infrastructure,2026-04,768,0.1499121608432559
exclude_aggregators,nmf_4,Defense Clearance Systems,2024-01,2049,0.1449490662139219
exclude_aggregators,nmf_4,Defense Clearance Systems,2024-04,166,0.03992303992303992
exclude_aggregators,nmf_4,Defense Clearance Systems,2026-03,320,0.06209974771977489
exclude_aggregators,nmf_4,Defense Clearance Systems,2026-04,415,0.08100722233066562
exclude_aggregators,nmf_5,AI LLM Platforms,2024-01,369,0.026103565365025467
exclude_aggregators,nmf_5,AI LLM Platforms,2024-04,193,0.04641654641654642
exclude_aggregators,nmf_5,AI LLM Platforms,2026-03,869,0.16863962740151367
exclude_aggregators,nmf_5,AI LLM Platforms,2026-04,939,0.1832910404060121
