quota_key,seniority_3level,n
arshkon_2024,junior,156
arshkon_2024,mid,15
arshkon_2024,senior,1872
arshkon_2024,unknown,2164
asaniczka_2024,junior,167
asaniczka_2024,mid,21
asaniczka_2024,senior,8240
asaniczka_2024,unknown,5125
scraped_2026_03,junior,291
scraped_2026_03,mid,22
scraped_2026_03,senior,2514
scraped_2026_03,unknown,2315
scraped_2026_04,junior,220
scraped_2026_04,mid,23
scraped_2026_04,senior,2513
scraped_2026_04,unknown,2355
