archetype,archetype_name,period,n,share_of_period,share_of_archetype,aggregator_share,avg_tech_count,avg_chars
nmf_0,Product Backend Engineering,2024-01,1108,0.06600738710830453,0.3299583085169744,0.0631768953068592,4.680505415162455,764.7039711191336
nmf_0,Product Backend Engineering,2024-04,367,0.08021857923497268,0.10929124478856463,0.02997275204359673,4.444141689373297,837.7901907356949
nmf_0,Product Backend Engineering,2026-03,1032,0.1653051417587698,0.3073257891602144,0.0687984496124031,5.591085271317829,1039.4544573643411
nmf_0,Product Backend Engineering,2026-04,851,0.1386671011895063,0.2534246575342466,0.052878965922444184,5.888366627497062,1055.0070505287897
nmf_1,Enterprise Application Support,2024-01,5810,0.34612176814011675,0.6110643668489693,0.09621342512908777,3.138382099827883,1189.8896729776247
nmf_1,Enterprise Application Support,2024-04,1429,0.3123497267759563,0.1502944888514935,0.08957312806158152,3.28481455563331,1127.9405178446466
nmf_1,Enterprise Application Support,2026-03,1131,0.18116290245074484,0.11895246108540176,0.14146772767462423,4.126436781609195,1296.8320070733864
nmf_1,Enterprise Application Support,2026-04,1138,0.18543262180218348,0.11968868321413546,0.15729349736379614,4.069420035149385,1289.2732864674867
nmf_2,Java Dotnet Web Services,2024-01,2973,0.17711187894674132,0.5024505661652865,0.11200807265388496,8.264715775311133,713.6791120080727
nmf_2,Java Dotnet Web Services,2024-04,1248,0.27278688524590167,0.210917694777759,0.10016025641025642,7.3389423076923075,744.6907051282051
nmf_2,Java Dotnet Web Services,2026-03,824,0.1319878263655294,0.13925976001352036,0.3094660194174757,10.492718446601941,895.7487864077669
nmf_2,Java Dotnet Web Services,2026-04,872,0.14208896855140948,0.14737197904343416,0.30275229357798167,10.344036697247706,894.3520642201835
nmf_3,Cloud DevOps Infrastructure,2024-01,1429,0.08513046586441082,0.34794253713172635,0.13995801259622112,8.337298810356893,911.1448565430371
nmf_3,Cloud DevOps Infrastructure,2024-04,704,0.15387978142076503,0.17141465790114438,0.10511363636363637,7.6477272727272725,895.9602272727273
nmf_3,Cloud DevOps Infrastructure,2026-03,975,0.1561749159058145,0.23739956172388604,0.18974358974358974,9.797948717948717,1188.2071794871795
nmf_3,Cloud DevOps Infrastructure,2026-04,999,0.16278311878768129,0.24324324324324326,0.23123123123123124,9.683683683683684,1150.7327327327328
nmf_4,Defense Clearance Systems,2024-01,2677,0.15947813654235674,0.7080137529754034,0.2345909600298842,4.111692192753082,1094.2424355621965
nmf_4,Defense Clearance Systems,2024-04,190,0.041530054644808745,0.05025125628140704,0.12631578947368421,3.6526315789473682,1086.7526315789473
nmf_4,Defense Clearance Systems,2026-03,443,0.07095947461156495,0.11716477122454377,0.27765237020316025,6.3860045146726865,1086.0451467268624
nmf_4,Defense Clearance Systems,2026-04,471,0.07674759654554343,0.12457021951864586,0.11889596602972399,5.796178343949045,1080.8237791932058
nmf_5,AI LLM Platforms,2024-01,451,0.026867627785058978,0.15970254957507082,0.18181818181818182,6.35920177383592,843.4013303769401
nmf_5,AI LLM Platforms,2024-04,213,0.04655737704918033,0.07542492917847025,0.09389671361502347,5.507042253521127,920.4882629107981
nmf_5,AI LLM Platforms,2026-03,1039,0.1664263975652731,0.36791784702549574,0.16361886429258904,7.953801732435034,1128.4013474494707
nmf_5,AI LLM Platforms,2026-04,1121,0.1826625386996904,0.3969546742209632,0.1623550401427297,8.015165031222123,1148.3371989295272
nmf_6,Embedded Firmware Systems,2024-01,1359,0.08096032407959014,0.5294117647058824,0.08535688005886681,3.0993377483443707,840.1442236938925
nmf_6,Embedded Firmware Systems,2024-04,241,0.0526775956284153,0.09388391118036618,0.12448132780082988,3.1659751037344397,803.1701244813278
nmf_6,Embedded Firmware Systems,2026-03,515,0.08249239147845587,0.20062329567588624,0.1941747572815534,4.194174757281553,1038.3844660194175
nmf_6,Embedded Firmware Systems,2026-04,452,0.07365162131334528,0.17608102843786522,0.07964601769911504,3.918141592920354,1052.986725663717
nmf_7,Large Employer Data Platforms,2024-01,979,0.05832241153342071,0.5830851697438951,0.676200204290092,9.489274770173646,642.3135852911133
nmf_7,Large Employer Data Platforms,2024-04,183,0.04,0.10899344848123883,0.0273224043715847,7.0,638.7923497267759
nmf_7,Large Employer Data Platforms,2026-03,284,0.04549094986384751,0.16914830256104824,0.09154929577464789,5.887323943661972,847.4295774647887
nmf_7,Large Employer Data Platforms,2026-04,233,0.03796643311064038,0.13877307921381773,0.09012875536480687,6.1373390557939915,830.1888412017167
