factor,nmi,levels
tech_domain,0.20468099700760944,8
top30_company,0.09836424712288547,31
source,0.04716356479900022,3
period,0.04275069482942388,4
year,0.040923884083880216,2
swe_classification_tier,0.01578501140790096,3
seniority_3level,0.006917578050326753,4
is_aggregator,0.005821277059075786,2
