source,period,text_source,total_cleaned_rows,llm_rows,llm_ge100_rows,label_rows
kaggle_asaniczka,2024-01,llm,17037,17037.0,16786.0,16786.0
kaggle_asaniczka,2024-01,raw,1092,0.0,0.0,0.0
kaggle_arshkon,2024-04,llm,4687,4687.0,4575.0,4575.0
kaggle_arshkon,2024-04,raw,4,0.0,0.0,0.0
scraped,2026-03,llm,6325,6325.0,6243.0,6243.0
scraped,2026-03,raw,13452,0.0,0.0,0.0
scraped,2026-04,llm,6209,6209.0,6137.0,6137.0
scraped,2026-04,raw,14895,0.0,0.0,0.0
