source,period,seniority_3level,text_source,n,companies,aggregator_rows,mean_chars,mean_yoe
kaggle_arshkon,2024-04,junior,llm,89,81,4,922.370786516854,1.8
kaggle_arshkon,2024-04,mid,llm,9,9,1,939.7777777777778,2.7142857142857144
kaggle_arshkon,2024-04,senior,llm,1068,771,73,1003.126404494382,5.945682451253482
kaggle_arshkon,2024-04,unknown,llm,1234,846,121,861.6085899513777,4.634379263301501
kaggle_asaniczka,2024-01,junior,llm,20,20,1,830.3,3.0833333333333335
kaggle_asaniczka,2024-01,mid,llm,2,2,0,1099.5,2.5
kaggle_asaniczka,2024-01,senior,llm,973,605,153,1030.2281603288798,6.239280774550484
kaggle_asaniczka,2024-01,unknown,llm,605,425,66,908.4214876033058,4.76530612244898
scraped,2026-03,junior,llm,113,83,21,978.6283185840708,2.0
scraped,2026-03,mid,llm,9,7,2,853.5555555555555,2.8
scraped,2026-03,senior,llm,978,624,104,1191.2249488752557,5.836289222373806
scraped,2026-03,unknown,llm,900,611,153,1051.4777777777779,4.156996587030717
scraped,2026-04,junior,llm,86,72,5,900.4767441860465,1.565217391304348
scraped,2026-04,mid,llm,9,9,0,1175.7777777777778,2.7142857142857144
scraped,2026-04,senior,llm,983,643,100,1179.6988809766021,5.969738651994498
scraped,2026-04,unknown,llm,922,653,152,1056.4110629067245,4.379370629370629
