quota_key,seniority_3level,target_n,available_n
arshkon_2024,junior,89,156
arshkon_2024,mid,9,15
arshkon_2024,senior,1068,1872
arshkon_2024,unknown,1234,2164
asaniczka_2024,junior,20,167
asaniczka_2024,mid,2,21
asaniczka_2024,senior,973,8240
asaniczka_2024,unknown,605,5125
scraped_2026_03,junior,113,291
scraped_2026_03,mid,9,22
scraped_2026_03,senior,978,2514
scraped_2026_03,unknown,900,2315
scraped_2026_04,junior,86,220
scraped_2026_04,mid,9,23
scraped_2026_04,senior,983,2513
scraped_2026_04,unknown,922,2355
