archetype,jr_2024,jr_2026,n_2024,n_2026
-2,0.007702182284980745,0.05513743455497382,779,12224
0,0.0372168284789644,0.1300479123887748,618,1461
1,0.02981514609421586,0.08575803981623277,3354,653
2,0.016476552598225603,0.047115384615384615,1578,1040
3,0.02669902912621359,0.10121457489878542,1236,741
4,0.037009622501850484,0.05692307692307692,1351,650
5,0.03258145363408521,0.06591337099811675,798,531
6,0.023504273504273504,0.08353221957040573,936,419
7,0.02617801047120419,0.1043956043956044,764,182
8,0.035422343324250684,0.12949640287769784,734,278
9,0.03076923076923077,0.09649122807017543,130,114
10,0.012658227848101266,0.0375,316,160
11,0.013986013986013986,0.11940298507462686,143,67
12,0.03,0.038461538461538464,100,52
13,0.1347517730496454,0.16260162601626016,141,123
14,0.01935483870967742,0.1076923076923077,155,65
15,0.046875,0.034482758620689655,64,58
16,0.04854368932038835,0.056338028169014086,103,71
17,0.0017094017094017094,0.023809523809523808,585,84
18,0.016129032258064516,0.1111111111111111,62,36
19,0.030303030303030304,0.0967741935483871,66,31
