slice,n_total,n_entry,n_known,entry_share_of_all,entry_share_of_known
arshkon_only_2024,4691,175,2267,0.03730547857599659,0.07719453021614468
scraped_2026,40881,1275,19040,0.031188082483305204,0.06696428571428571
