source,seniority_final,n,pct
kaggle_arshkon,associate,241,4.8
kaggle_arshkon,director,22,0.44
kaggle_arshkon,entry,848,16.9
kaggle_arshkon,mid-senior,2924,58.26
kaggle_arshkon,unknown,984,19.61
kaggle_asaniczka,associate,1451,6.25
kaggle_asaniczka,director,91,0.39
kaggle_asaniczka,entry,129,0.56
kaggle_asaniczka,mid-senior,21542,92.8
scraped,associate,996,2.84
scraped,director,351,1.0
scraped,entry,4656,13.28
scraped,mid-senior,26805,76.45
scraped,unknown,2254,6.43
