source,period,seniority_best,coverage_type,n
kaggle_arshkon,2024-04,associate,labeled,15
kaggle_arshkon,2024-04,director,labeled,1
kaggle_arshkon,2024-04,director,rule_sufficient,12
kaggle_arshkon,2024-04,entry,rule_sufficient,93
kaggle_arshkon,2024-04,entry,labeled,84
kaggle_arshkon,2024-04,mid-senior,labeled,404
kaggle_arshkon,2024-04,mid-senior,rule_sufficient,1777
kaggle_arshkon,2024-04,unknown,labeled,2629
kaggle_asaniczka,2024-01,associate,labeled,69
kaggle_asaniczka,2024-01,director,labeled,7
kaggle_asaniczka,2024-01,director,rule_sufficient,41
kaggle_asaniczka,2024-01,entry,labeled,39
kaggle_asaniczka,2024-01,entry,rule_sufficient,25
kaggle_asaniczka,2024-01,mid-senior,labeled,498
kaggle_asaniczka,2024-01,mid-senior,rule_sufficient,5028
kaggle_asaniczka,2024-01,unknown,labeled,2164
scraped,2026-03,associate,labeled,16
scraped,2026-03,director,labeled,28
scraped,2026-03,director,rule_sufficient,57
scraped,2026-03,entry,labeled,153
scraped,2026-03,entry,rule_sufficient,161
scraped,2026-03,mid-senior,rule_sufficient,2117
scraped,2026-03,mid-senior,labeled,282
scraped,2026-03,unknown,labeled,2138
scraped,2026-04,associate,labeled,14
scraped,2026-04,director,rule_sufficient,41
scraped,2026-04,director,labeled,2
scraped,2026-04,entry,labeled,27
scraped,2026-04,entry,rule_sufficient,49
scraped,2026-04,mid-senior,rule_sufficient,1113
scraped,2026-04,mid-senior,labeled,127
scraped,2026-04,unknown,labeled,962
