source,seniority_final_source,n,pct
kaggle_arshkon,description_explicit,30,0.6
kaggle_arshkon,native_backfill,1991,39.67
kaggle_arshkon,title_keyword,1890,37.66
kaggle_arshkon,title_prior,59,1.18
kaggle_arshkon,unknown,984,19.61
kaggle_arshkon,weak_title_associate,11,0.22
kaggle_arshkon,weak_title_level,54,1.08
kaggle_asaniczka,native_backfill,8702,37.49
kaggle_asaniczka,title_keyword,14511,62.51
scraped,description_explicit,93,0.27
scraped,native_backfill,15870,45.26
scraped,title_keyword,16027,45.71
scraped,title_manager,3,0.01
scraped,title_prior,121,0.35
scraped,unknown,2254,6.43
scraped,weak_title_associate,41,0.12
scraped,weak_title_level,653,1.86
