native (true),entry,associate,mid-senior,director,executive,intern
entry,49,62,32,0,0,0
associate,13,13,63,0,0,0
mid-senior,17,32,1374,5,0,0
director,0,0,15,4,0,0
executive,0,0,6,1,0,0
intern,20,0,0,0,0,0
