source,period,seniority_native,n
kaggle_arshkon,2024-04,associate,275
kaggle_arshkon,2024-04,director,25
kaggle_arshkon,2024-04,entry,769
kaggle_arshkon,2024-04,executive,11
kaggle_arshkon,2024-04,intern,20
kaggle_arshkon,2024-04,mid-senior,2344
kaggle_asaniczka,2024-01,associate,2014
kaggle_asaniczka,2024-01,mid-senior,21199
scraped,2026-03,associate,795
scraped,2026-03,director,241
scraped,2026-03,entry,2785
scraped,2026-03,executive,37
scraped,2026-03,intern,429
scraped,2026-03,mid-senior,15574
scraped,2026-04,associate,361
scraped,2026-04,director,207
scraped,2026-04,entry,1187
scraped,2026-04,executive,7
scraped,2026-04,intern,156
scraped,2026-04,mid-senior,7298
