native (true),entry,associate,mid-senior,director,executive,intern
entry,522,294,156,0,0,0
associate,37,81,371,1,0,0
mid-senior,128,850,12278,126,0,0
director,0,0,319,91,0,0
executive,0,1,8,12,0,0
intern,446,3,3,0,0,0
