variant,period,n,known_n,entry_n,entry_share_known,entry_share_all
final_all_nonunknown,2024-01,22043,22043,121,0.005489270970376083,0.005489270970376083
final_all_nonunknown,2024-04,3786,3786,773,0.20417326994189117,0.20417326994189117
final_all_nonunknown,2026-03,4054,4054,561,0.13838184509126789,0.13838184509126789
native_only_nonunknown,2024-01,22043,22043,0,0.0,0.0
native_only_nonunknown,2024-04,3197,3197,715,0.22364716922114483,0.22364716922114483
native_only_nonunknown,2026-03,3611,3611,490,0.13569648296870673,0.13569648296870673
high_confidence,2024-01,22043,22043,121,0.005489270970376083,0.005489270970376083
high_confidence,2024-04,3757,3757,772,0.20548309821666222,0.20548309821666222
high_confidence,2026-03,4040,4040,560,0.13861386138613863,0.13861386138613863
incl_weak_signals,2024-01,22043,22043,121,0.005489270970376083,0.005489270970376083
incl_weak_signals,2024-04,4639,3786,773,0.20417326994189117,0.16663073938348782
incl_weak_signals,2026-03,4318,4054,561,0.13838184509126789,0.12992125984251968
