uid,company_name_canonical,company_display,title,date_posted,scrape_date,desc_len,ai_strict_count,ai_strict_density_per_1k,ai_strict_hits,excerpt_300c
linkedin_li-4393055412,Citigroup,Citigroup,"Gen AI-ML Engineer, AVP",,2026-04-02,3383,20,5.911912503694945,"rag, llamaindex, langchain, gemini, gpt-4, prompt engineering, fine-tuning, vector databases","The | **Gen AI-ML Engineer**
is an intermediate level position responsible for participation in the establishment and implementation of new or revised application systems and programs in coordination with the Technology team.
The overall objective of this role is to contribute to applications system..."
linkedin_li-4388243506,JPMorgan Chase & Co.,JPMorgan Chase,Software Engineer III,,2026-03-21,2289,8,3.494975972040192,"fine-tune, rag, prompt engineering, hugging face, fine-tuning","Join our dynamic AI team to design, develop, and deploy cutting-edge machine learning and AI solutions.
You will work on scalable backend systems, real-time prediction models, and advanced automation flows, driving measurable business impact across multiple domains.
You will also ensure that AI mode..."
linkedin_li-4393005468,Visa,Visa,Staff Software Engineer – AI Agent/ Agentic Focus,,2026-04-14,4956,17,3.430185633575464,"rag, claude, gemini, vector databases, pinecone, langchain, llamaindex","**Job Description** | Visa is building a next-generation Agentic AI Platform that brings intelligent, autonomous agents into large-scale distributed applications across our global ecosystem.
We’re seeking a Staff Software Engineer who will design and build scalable backend systems that integrate AI..."
linkedin_li-4398763908,GEICO,GEICO,Senior Engineer - Applied AI (Java),,2026-04-12,4426,14,3.1631269769543606,"rag, vector databases, claude, cursor, codex, pinecone, langchain, llamaindex","is seeking a Senior Engineer, Applied AI to help shape how Generative AI enhances customer and associate experiences across the enterprise.
This is a hands-on technical role for someone with strong Java development expertise, a passion for AI technologies, and a proven ability to deliver scalable, p..."
linkedin_li-4402780862,Wells Fargo,Wells Fargo,Fullstack Developer (contract),,2026-04-18,4669,11,2.3559648747055046,"langchain, rag, pinecone, vector databases, llamaindex","Senior AI Developer (Full Stack)
**Duration:** | 9 months
**Work Engagement:**
**Summary:**
In this contingent resource assignment, you may: Consult on complex initiatives with broad impact and large-scale planning for Software Engineering.
Review and analyze complex multi-faceted, larger scale or l..."
linkedin_li-4400445108,Goldman Sachs,Goldman Sachs,Asset & Wealth Management - Software Engineer - Associate - Dallas,,2026-04-17,4078,7,1.7165277096615987,"rag, prompt engineering, gemini, claude","**Private Wealth Management**
The Private Wealth Management (PWM) business provides end to end Investment Management services and advice across a broad range of asset classes for high-net-worth individuals.
PWM leverages a global technology platform offering, an integrated suite of tools, and applic..."
linkedin_li-4375405236,BlackRock,BlackRock,"Director, Application Engineer",,2026-04-10,1780,3,1.6853932584269664,"rag, fine-tuning, prompt engineering","**Responsibilities** | * Define and execute strategy for BlackRock’s enterprise AI platform
* Design scalable AI architecture leveraging LLMs, RAG, fine-tuning, and model optimization techniques
* Establish evaluation frameworks to measure model quality, hallucination control, and precision/recall t..."
