uid,company_name_canonical,title,scrape_date,preview_300c
"linkedin_li-4281730145","AMD","Lead Forward Deployed Software Engineer","2026-04-05","Specialized in AI optimization, fine-tuning large language models to unlock unprecedented Generative AI efficiency. Our expertise extends beyond the hardware realm, encompassing 3P enablement, where we develop custom AI Software Solutions for Industry leading AI customers. **The Role** As a | **Forw"
"linkedin_li-4391736444","Actalent","Forward Deployed Software Engineer","2026-03-28","**Job Title: Forward Deployed Software Engineer** We are seeking a Forward Deployed Software Engineer (FDSE) to serve as the critical technical owner for the deployment and operational success of our complex, mission-critical enterprise software systems. This role demands a unique and strong blend o"
"linkedin_li-4377144308","Adaptive ML","Forward Deployed AI Engineer","2026-03-24","As a Forward Deployed | **AI Engineer** at Adaptive ML, you will help our customers build scalable production applications with Adaptive Engine. Our customers range from innovative scale-ups to global enterprises, and your role will be to guide them in maximizing business value while shortening time"
"linkedin_li-4369840231","Adobe","Senior Manager, Forward Deployed AI Engineer","2026-03-22","As a Manager, Forward Deployed AI Engineering, you will lead, mentor, and inspire a team of Forward Deployed AI Engineers (FDEs)—creative technologists who prototype, build, and launch GenAI-powered solutions and products directly with customers. Your mission is to cultivate top engineering talent, "
"linkedin_li-4392023585","Avathon","Forward Deployed AI Engineer","2026-04-18","As the only physical AI unicorn headquartered in the San Francisco Bay Area, we go beyond models and dashboards we deploy AI that continuously computes across **supply chains, energy systems, and industrial operations** . Our Operational Technology platform turns fragmented data into real-time, auto"
