period_label,bucket,n_bucket,n_denominator_all,n_denominator_known,share_of_all,share_of_all_lo,share_of_all_hi,share_of_known,share_of_known_lo,share_of_known_hi,pp_change_share_of_all,pp_change_share_of_known,base_share_of_all,comp_share_of_all,base_share_of_known,comp_share_of_known,base_n_all,comp_n_all
pooled-2024,A_0-2,1667.0,22811.0,18219.0,0.07307877778264872,0.06977269875781777,0.07652862289919576,0.09149788682145013,0.08739702544423865,0.09577097644851913,,,,,,,,
pooled-2024,B_3-4,3658.0,22811.0,18219.0,0.1603612292315111,0.1556566657828685,0.1651801663306718,0.20077940611449585,0.1950260265186004,0.20665893986613176,,,,,,,,
pooled-2024,C_5-7,8019.0,22811.0,18219.0,0.3515409232387883,0.3453704804668804,0.3577613597335075,0.4401449036719908,0.432950158915873,0.4473648838874931,,,,,,,,
pooled-2024,D_8-10,3959.0,22811.0,18219.0,0.17355661742141948,0.16869692032521974,0.17852624460972413,0.21730062023162633,0.2113721078826067,0.22334832124049028,,,,,,,,
pooled-2024,E_11plus,916.0,22811.0,18219.0,0.04015606505633247,0.03768480893311484,0.04278217402332029,0.05027718316043691,0.04719790765530415,0.05354606594339401,,,,,,,,
pooled-2024,unknown,4592.0,22811.0,18219.0,0.2013063872692999,0.19615338391625764,0.20655997595539216,,,,,,,,,,,
arshkon-2024,A_0-2,449.0,4687.0,3454.0,0.09579688500106678,0.08769908223992046,0.10455671381237727,0.129994209612044,0.11918868442177104,0.1416218442160195,,,,,,,,
arshkon-2024,B_3-4,759.0,4687.0,3454.0,0.16193727330915297,0.15166821150704685,0.1727600328027265,0.2197452229299363,0.20625164704901386,0.23386149201309983,,,,,,,,
arshkon-2024,C_5-7,1433.0,4687.0,3454.0,0.30573927885641133,0.2927130270446648,0.31908370154103954,0.41488129704690213,0.39855345722726426,0.43139826062837766,,,,,,,,
arshkon-2024,D_8-10,705.0,4687.0,3454.0,0.150416044378067,0.1404683865441431,0.16093627000465063,0.20411117544875507,0.19100187558346896,0.2178779055337626,,,,,,,,
arshkon-2024,E_11plus,108.0,4687.0,3454.0,0.023042457862171965,0.01912168846820688,0.02774441450086758,0.03126809496236248,0.025964567205274805,0.037613089965760335,,,,,,,,
arshkon-2024,unknown,1233.0,4687.0,3454.0,0.2630680605931299,0.2506605991200981,0.2758635822027188,,,,,,,,,,,
asaniczka-2024,A_0-2,1218.0,18124.0,14765.0,0.06720370779077467,0.06364954011004532,0.07094130262007516,0.08249238062986793,0.07816267649369636,0.08703927693126225,,,,,,,,
asaniczka-2024,B_3-4,2899.0,18124.0,14765.0,0.15995365261531672,0.15468912768181933,0.16536229553920725,0.19634270233660683,0.19001474455377723,0.20282862606521893,,,,,,,,
asaniczka-2024,C_5-7,6586.0,18124.0,14765.0,0.3633855661001986,0.3564128589472978,0.37041617300065954,0.4460548594649509,0.4380520538173264,0.45408572798216734,,,,,,,,
asaniczka-2024,D_8-10,3254.0,18124.0,14765.0,0.17954094018980357,0.17402135115746867,0.18519634575437985,0.2203860480866915,0.21377329982401386,0.22714425467593605,,,,,,,,
asaniczka-2024,E_11plus,808.0,18124.0,14765.0,0.04458177002869124,0.04167237822943914,0.04768417657607011,0.05472400948188283,0.05116988356371377,0.05850977298465031,,,,,,,,
asaniczka-2024,unknown,3359.0,18124.0,14765.0,0.18533436327521519,0.17974421692442666,0.1910578707973833,,,,,,,,,,,
pooled-2026,A_0-2,2911.0,25815.0,20510.0,0.11276389695913229,0.10896288513582274,0.11668013870444201,0.14193076548025355,0.13722179047059535,0.14677384586672537,,,,,,,,
pooled-2026,B_3-4,4641.0,25815.0,20510.0,0.1797791981406159,0.17514262215323403,0.1845110622938773,0.22627986348122867,0.22060504756903906,0.23205719404285072,,,,,,,,
