period_label,bucket,n_bucket,n_denominator_all,n_denominator_known,share_of_all,share_of_all_lo,share_of_all_hi,share_of_known,share_of_known_lo,share_of_known_hi,pp_change_share_of_all,pp_change_share_of_known,base_share_of_all,comp_share_of_all,base_share_of_known,comp_share_of_known,base_n_all,comp_n_all
pooled-2024,A_0-2,991.0,13432.0,10855.0,0.07377903513996427,0.06947904222034572,0.07832275083497349,0.09129433440810686,0.08601960318244276,0.09685823570593927,,,,,,,,
pooled-2024,B_3-4,2189.0,13432.0,10855.0,0.1629690291840381,0.15681955307243386,0.16931122721777223,0.20165822201750344,0.19421629764662424,0.2093112310899981,,,,,,,,
pooled-2024,C_5-7,4604.0,13432.0,10855.0,0.3427635497319833,0.334782848208331,0.35083416260963124,0.42413634269921696,0.41486772373091074,0.4334586372123064,,,,,,,,
pooled-2024,D_8-10,2457.0,13432.0,10855.0,0.182921381774866,0.17647438952116112,0.189549686744796,0.22634730538922157,0.21857275178004285,0.23431547552029272,,,,,,,,
pooled-2024,E_11plus,614.0,13432.0,10855.0,0.045711733174508634,0.04230764964469593,0.049375588996973536,0.056563795485951175,0.05237291493346632,0.061068418885811694,,,,,,,,
pooled-2024,unknown,2577.0,13432.0,10855.0,0.19185527099463967,0.18528473951005628,0.19860200659578933,,,,,,,,,,,
arshkon-2024,A_0-2,294.0,2939.0,2227.0,0.10003402517863219,0.08970300186427839,0.11140924529628286,0.13201616524472384,0.11858855538038264,0.14671109488412498,,,,,,,,
arshkon-2024,B_3-4,475.0,2939.0,2227.0,0.16161959850289215,0.14875456712909987,0.17536804435637712,0.21329142343960486,0.19677958716912547,0.2307906711516654,,,,,,,,
arshkon-2024,C_5-7,909.0,2939.0,2227.0,0.30928887376658726,0.2928367887341849,0.32623885102208433,0.4081724292770543,0.38793449718537465,0.4287266113919186,,,,,,,,
arshkon-2024,D_8-10,473.0,2939.0,2227.0,0.16093909493024838,0.14809755305536046,0.1746658278850898,0.21239335428828018,0.1959091531389228,0.22986805978898092,,,,,,,,
arshkon-2024,E_11plus,76.0,2939.0,2227.0,0.025859135760462743,0.02071042633085871,0.03224569142179304,0.03412662775033678,0.027352348929628914,0.042505353510183974,,,,,,,,
arshkon-2024,unknown,712.0,2939.0,2227.0,0.24225927186117727,0.22711226575395804,0.258079165317182,,,,,,,,,,,
asaniczka-2024,A_0-2,697.0,10493.0,8628.0,0.0664252358715334,0.061817396844915926,0.07135041980778407,0.08078349559573482,0.07521837484803366,0.08672174713975724,,,,,,,,
asaniczka-2024,B_3-4,1714.0,10493.0,8628.0,0.1633469932335843,0.15639704495990664,0.1705433468030701,0.19865554010199352,0.1903715996299708,0.20720769734770578,,,,,,,,
asaniczka-2024,C_5-7,3695.0,10493.0,8628.0,0.3521395215858191,0.34305619356032835,0.36133107263082775,0.42825683820120536,0.41784995523998253,0.4387275773866259,,,,,,,,
asaniczka-2024,D_8-10,1984.0,10493.0,8628.0,0.18907843324120843,0.1817005378388311,0.19668390041359968,0.22994900324524803,0.22119125594827482,0.23894711403556612,,,,,,,,
asaniczka-2024,E_11plus,538.0,10493.0,8628.0,0.051272276755932523,0.04721409269138125,0.05565889658419582,0.06235512285581827,0.05744521595791967,0.06765456303735222,,,,,,,,
asaniczka-2024,unknown,1865.0,10493.0,8628.0,0.17773753931192224,0.1705412213656502,0.18516972973031753,,,,,,,,,,,
pooled-2026,A_0-2,1758.0,14143.0,11489.0,0.12430177472954819,0.11896614946408253,0.12984143554112293,0.1530159282792236,0.14654915124406834,0.1597146627511413,,,,,,,,
