company_industry,company_name_canonical,n_postings,n_ai_strict,pct_ai_strict,ci95_low,ci95_high
Financial Services,BlackRock,18,8.0,44.44,24.56,66.28
Financial Services,Wells Fargo,14,5.0,35.71,16.34,61.24
Financial Services,SoFi,36,12.0,33.33,20.21,49.67
Financial Services,KPMG US,10,3.0,30.0,10.78,60.32
IT Services and IT Consulting,UST,11,4.0,36.36,15.17,64.62
IT Services and IT Consulting,Alarm.com,11,4.0,36.36,15.17,64.62
IT Services and IT Consulting,Visa,36,12.0,33.33,20.21,49.67
IT Services and IT Consulting,Raas Infotek,12,4.0,33.33,13.81,60.94
Software Development,ServiceNow,13,8.0,61.54,35.52,82.29
Software Development,Siemens Digital Industries Software,10,6.0,60.0,31.27,83.18
Software Development,Thomson Reuters,21,12.0,57.14,36.55,75.53
Software Development,"RealPage, Inc.",12,6.0,50.0,25.38,74.62
Software Development,Underdog.io -Apply to top tech jobs in 60 seconds. A place where companies apply to you,10,5.0,50.0,23.66,76.34
Software Development,Microsoft AI,49,21.0,42.86,30.02,56.73
Software Development,Jobright.ai,14,6.0,42.86,21.38,67.41
Software Development,Seekr,10,4.0,40.0,16.82,68.73
Software Development,ModMed,10,4.0,40.0,16.82,68.73
Software Development,VDart,10,4.0,40.0,16.82,68.73
