group_type,metric,group_value,n,nonnull_n,nonnull_share,mean_value,median_value,p25,p75,p90,p95,sd_value,skewness,kurtosis,bimodality_coefficient
period,description_length,2024-01,18129,18129,1.0,3881.4461911853937,3733.0,2288.0,5250.0,6580.0,7458.199999999997,2078.5137761750125,0.6230274481374184,3.8257773848308476,0.36284474016618706
period,description_length,2024-04,4691,4691,1.0,3305.6418674056704,2974.0,1534.0,4749.5,6218.0,7210.0,2142.6358202148213,0.7959726318580312,3.5852352818276723,0.45563883601922006
period,description_length,2026-03,19796,19796,1.0,4979.530208122853,4924.5,3262.75,6528.25,8004.0,8887.25,2341.751725346696,0.43487698959603305,3.6712734998377137,0.32389795969509555
period,description_length,2026-04,17356,17356,1.0,4886.031977414151,4851.0,3163.0,6394.25,7873.5,8752.75,2322.8902909993735,0.4118439290026147,3.509207550552956,0.333299015520473
period,yoe_extracted,2024-01,12834,12834,1.0,5.797880629577684,5.0,4.0,7.0,10.0,12.0,3.1795989982776764,1.447249586293552,6.2469383819234245,0.49536767866662623
period,yoe_extracted,2024-04,2911,2911,1.0,5.221916867055994,5.0,3.0,7.0,10.0,10.0,2.753482125557918,1.0238623063927985,4.563056357233084,0.4488864178074742
period,yoe_extracted,2026-03,13372,13372,1.0,5.028342805862997,5.0,3.0,6.0,8.0,10.0,2.754756129130727,1.2171849043464968,5.62954334391042,0.44080646329036915
period,yoe_extracted,2026-04,11803,11803,1.0,5.032449377276963,5.0,3.0,6.0,8.0,10.0,2.7187950377425016,1.1104751641595767,5.048089897768794,0.44237625229342126
period,yoe_min_extracted,2024-01,12834,12834,1.0,4.8055945145706715,5.0,3.0,6.0,9.0,10.0,2.877644038963333,1.29326485461095,5.640357736976837,0.47382348935979496
period,yoe_min_extracted,2024-04,2911,2911,1.0,4.594297492270697,4.0,3.0,6.0,8.0,10.0,2.658699352477284,0.9678986095099792,3.890445983117463,0.49784207946754394
period,yoe_min_extracted,2026-03,13372,13372,1.0,4.42147771462758,4.0,2.0,5.0,8.0,10.0,2.6226912857715647,1.1891376378886587,5.252497990339699,0.4596000467364849
period,yoe_min_extracted,2026-04,11803,11803,1.0,4.43319495043633,4.0,2.0,5.0,8.0,10.0,2.6213648132263594,1.1153510925715244,4.789901985474701,0.46848726059644036
period,yoe_max_extracted,2024-01,12834,12834,1.0,7.0091164095371665,6.0,5.0,9.0,11.0,14.0,3.4625708845944394,1.2354546520676597,4.981777839397001,0.5071177958472379
period,yoe_max_extracted,2024-04,2911,2911,1.0,6.163517691514944,5.0,4.0,8.0,10.0,11.5,2.9621997479373383,0.8848993214408923,4.087000064267514,0.43627276267393833
period,yoe_max_extracted,2026-03,13372,13372,1.0,6.0368680825605745,5.0,4.0,8.0,10.0,12.0,2.984601670992694,1.0994036186273228,5.097022930307763,0.4333290916777353
period,yoe_max_extracted,2026-04,11803,11803,1.0,6.088621536897399,5.0,4.0,8.0,10.0,12.0,2.936619387016259,1.0216251292416985,4.6961826765482275,0.43518705413740083
period,yoe_match_count,2024-01,18129,18129,1.0,1.589718131171052,1.0,0.0,2.0,4.0,5.0,1.8372122421746058,2.3478925843545384,10.874598605777614,0.5988818368162044
period,yoe_match_count,2024-04,4691,4691,1.0,1.2415263270091665,1.0,0.0,2.0,3.0,4.0,1.5580693503604877,2.7800826062920665,16.123185513651613,0.5413855277182604
period,yoe_match_count,2026-03,19796,19796,1.0,1.3955344514043242,1.0,0.0,2.0,3.0,5.0,1.60878123973327,2.7619695937056914,15.426050594072594,0.5593444662932874
period,yoe_match_count,2026-04,17356,17356,1.0,1.4370822770223555,1.0,1.0,2.0,3.0,5.0,1.6610905368529731,2.7538810683382016,14.942226363394443,0.5744700106792887
period,company_size,2024-04,4646,4646,1.0,28528.140981489454,667.5,92.0,9287.0,55249.0,137377.0,96222.15994839367,5.3205642211748785,34.02419519490044,0.8613988799370336
period,posting_age_days,2026-03,149,149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
period,posting_age_days,2026-04,153,153,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,
