source,period,n,cleaned_text_share,llm_extraction_labeled_share,llm_classification_labeled_share
kaggle_arshkon,2024-04,4691,0.9974419100405031,0.9974419100405031,0.6203368151780004
kaggle_asaniczka,2024-01,18129,0.8590655855259529,0.8590655855259529,0.1293507639693309
scraped,2026-03,19796,0.20100020206102243,0.20100020206102243,0.10956758941200243
scraped,2026-04,17356,0.11448490435584235,0.11448490435584235,0.05911500345701775
