title_norm,pooled_2024_n,scraped_n
mainframe developer,72,2
c#/.net developer,40,1
java architect,38,0
manager devops - remote,35,0
senior dotnet developer,27,2
automation tester,25,2
embedded engineer,23,2
senior java engineer,20,2
database developer,19,2
lead software developer,18,2
senior php developer,15,0
senior database developer,15,0
senior software architect,14,2
lead application developer,14,0
drupal developer,14,0
software developer 4,13,2
php developer,12,0
automation engineer 3,12,2
devops architect,12,0
computer scientist,11,0
lead salesforce developer,11,0
senior embedded systems engineer,11,2
senior applications developer,10,0
senior programmer,10,1
software engineering lead,10,0
technical systems engineer (electronic security),10,0
engineer systems 3,10,0
test engineer senior,10,2
.net architect,10,1
systems engineer 4,10,2
embedded systems engineer,10,1
