title_norm,n
data engineer,764
senior data engineer,476
machine learning engineer,265
ai engineer,240
senior machine learning engineer,147
artificial intelligence engineer,138
lead data engineer,110
senior ai engineer,107
ai/machine learning engineer,103
generative ai engineer,47
lead ai engineer,43
ai software engineer,41
staff machine learning engineer,37
senior ai/machine learning engineer,36
staff data engineer,35
data engineer 3,31
data engineer 2,30
aws data engineer,29
applied ai engineer,29
principal data engineer,29
principal ai engineer,26
data platform engineer,26
principal machine learning engineer,24
ai platform engineer,24
ai developer,22
agentic ai engineer,22
lead machine learning engineer,21
azure data engineer,19
ai agent engineer,19
gen ai engineer,19
