group,n_postings,n_unique_titles,unique_per_1k,hhi,top10_share,top50_share
arshkon_2024,4261,2268,532.27,0.004443,0.1533,0.3201
asaniczka_2024,15186,7386,486.37,0.00446,0.1395,0.2841
pooled_2024,19447,9168,471.44,0.004125,0.1346,0.2805
scraped_2026,37609,19389,515.54,0.003363,0.1371,0.2462
scraped_2026-03,16424,9504,578.67,0.00306,0.1304,0.2399
scraped_2026-04,21185,11551,545.24,0.003676,0.1424,0.2527
