title_norm,arshkon_n,scraped_n
ai engineer,2,197
full stack software engineer,2,87
ai/machine learning engineer,0,86
associate software engineer,2,45
senior software engineer full stack,1,39
senior ai/machine learning engineer,0,32
mobile apps test automation engineer,0,31
staff data engineer,1,30
staff machine learning engineer,2,29
applied ai engineer,0,29
software development engineer in test (sdet),0,28
ai software engineer,1,28
senior java full stack developer,0,26
lead ai engineer,1,25
aws data engineer,1,25
test engineer 2,0,25
software development engineer in test,2,25
full stack software developer,1,25
frontend software engineer,1,24
senior reliability engineer,2,24
principal data engineer,2,24
principal ai engineer,0,24
data engineer 3,2,24
backend software engineer,2,23
founding software engineer,0,23
software engineer backend,2,22
senior android engineer,2,22
robotics software engineer,0,22
senior software engineer platform,0,21
agentic ai engineer,1,21
ai platform engineer,0,21
senior software engineer 2,0,21
software engineer lead,2,20
senior software engineer - full stack,1,20
senior devsecops engineer,0,20
software quality assurance engineer,1,20
ai developer,0,20
software engineer full stack,0,19
senior software engineer frontend,0,19
senior ios engineer,1,18
software engineer 4,0,18
senior platform engineer,2,18
senior application engineer,1,18
junior software developer,0,18
java full stack engineer,1,18
software engineer infrastructure,0,17
principal machine learning engineer,0,17
principal embedded software engineer,1,17
software development engineer 3,1,17
software engineer product,0,17
mid-level software engineer,0,17
full stack ai engineer,0,16
android engineer,0,16
staff embedded software engineer,0,16
ai automation engineer,0,16
founding ai engineer,0,15
senior web developer,2,15
flight software engineer,1,15
senior software test engineer,2,15
senior ios developer,2,15
ai agent engineer,0,15
software engineer - backend,1,14
lead quality assurance engineer,2,14
senior software quality assurance engineer,0,14
staff ai engineer,0,14
cloud platform engineer,0,14
senior software engineer data platform,0,14
senior software engineer - frontend,0,14
senior ai software engineer,0,14
senior mobile engineer,0,14
software developer 3,1,13
site reliability engineer (site reliability engineer),0,13
senior software engineer (full stack),0,13
data engineer intern,2,13
software engineer (full stack),1,13
software engineer 1,0,13
ios engineer,0,13
automation test engineer,1,13
senior azure cloud engineer,0,12
staff site reliability engineer,1,12
devops engineer 2,1,12
gen ai engineer,1,12
ui developer,2,12
forward deployed software engineer,0,12
systems integration engineer,1,12
vice president full stack engineer,0,12
staff devops engineer,1,11
senior flight software engineer,0,11
senior backend software engineer,1,11
principal systems engineer,1,11
ai solutions engineer,0,11
cloud systems engineer,0,11
power system engineer,0,11
lead full stack engineer,0,11
staff software engineer - backend,0,11
programmer,1,11
senior software engineer infrastructure,1,11
software engineer frontend,1,11
senior .net full stack developer,2,11
frontend web developer,0,11
senior software engineer ai,0,11
senior cloud platform engineer,0,11
databricks data engineer,1,11
(usa) senior software engineer,0,11
ai engineer intern,0,10
staff platform engineer,0,10
staff backend engineer,1,10
staff software engineer full stack,0,10
senior software engineer (backend),0,10
principal cloud engineer,0,10
backend java developer,1,10
api developer,1,10
google cloud platform data engineer,1,10
senior database engineer,1,10
senior software quality engineer,0,10
staff full stack engineer,0,10
data engineer senior,0,10
software engineer [multiple positions available],0,10
automation test lead,1,10
founding backend engineer,0,10
