title_norm,pooled_2024_n,scraped_n
ai/machine learning engineer,1,80
applied ai engineer,0,28
senior ai/machine learning engineer,0,28
software development engineer in test (sdet),2,25
principal ai engineer,1,23
lead ai engineer,2,22
software engineer backend,2,22
ai software engineer,1,21
agentic ai engineer,1,20
senior software engineer 2,1,20
senior software engineer platform,0,19
mobile apps test automation engineer,0,19
software engineer full stack,1,18
ai developer,2,18
junior software developer,1,17
ai platform engineer,0,16
ai automation engineer,0,16
founding ai engineer,0,14
software engineer - backend,2,14
full stack ai engineer,0,14
staff embedded software engineer,0,14
staff ai engineer,0,14
software engineer product,1,14
mid-level software engineer,0,14
senior ai software engineer,1,14
software engineer infrastructure,0,13
ios engineer,2,13
gen ai engineer,1,13
ai agent engineer,0,13
site reliability engineer (site reliability engineer),0,12
software engineer (full stack),1,12
staff site reliability engineer,2,12
cloud platform engineer,2,12
cloud systems engineer,0,11
senior software engineer ai,0,11
forward deployed software engineer,0,11
senior software engineer data platform,2,11
ai engineer intern,0,10
devops engineer 2,2,10
frontend web developer,1,10
senior cloud platform engineer,0,10
founding backend engineer,2,10
