group,n,share_ai_engineering,share_ml_infrastructure,share_data_engineering,share_platform_engineering,share_reliability_engineering,share_security_engineering,share_cloud_engineering,share_frontend_fullstack,share_backend,share_mobile,share_embedded_firmware,share_qa_testing,share_data_science,share_blockchain_crypto,share_robotics
arshkon_2024,4261,0.0113,0.0012,0.0746,0.0087,0.0225,0.0035,0.027,0.1065,0.0333,0.0038,0.0164,0.0408,0.0019,0.0007,0.0
asaniczka_2024,15186,0.0033,0.0007,0.0529,0.0062,0.0184,0.003,0.013,0.0747,0.0184,0.0036,0.029,0.0579,0.0007,0.0004,0.0
pooled_2024,19447,0.005,0.0008,0.0576,0.0067,0.0193,0.0031,0.0161,0.0817,0.0217,0.0036,0.0262,0.0541,0.001,0.0005,0.0
scraped_2026,37609,0.0441,0.0027,0.0733,0.0151,0.0223,0.0044,0.0186,0.1081,0.0363,0.0087,0.0175,0.0331,0.0014,0.0004,0.0
