group,n,share_junior,share_mid,share_senior,share_lead,share_principal,share_staff,share_director,share_manager,share_none
arshkon_2024,4691,0.0254,0.0049,0.262,0.0552,0.0277,0.0249,0.0021,0.0072,0.5905
asaniczka_2024,18129,0.009,0.0038,0.4267,0.0846,0.0587,0.027,0.0017,0.014,0.3745
pooled_2024,22820,0.0124,0.004,0.3928,0.0786,0.0524,0.0266,0.0018,0.0126,0.4189
scraped_2026-03,19740,0.0365,0.0051,0.2732,0.0529,0.035,0.0573,0.0057,0.0059,0.5285
scraped_2026-04,25577,0.025,0.0063,0.267,0.0485,0.0382,0.0537,0.0054,0.0052,0.5507
scraped_2026,45317,0.03,0.0058,0.2697,0.0504,0.0368,0.0553,0.0056,0.0055,0.541
