group,n,share_ai_engineering,share_ml_infrastructure,share_data_engineering,share_platform_engineering,share_reliability_engineering,share_security_engineering,share_cloud_engineering,share_frontend_fullstack,share_backend,share_mobile,share_embedded_firmware,share_qa_testing,share_data_science,share_blockchain_crypto,share_robotics
arshkon_2024,3512,0.0114,0.002,0.0769,0.0088,0.0228,0.0034,0.0288,0.1054,0.0333,0.0037,0.0191,0.0464,0.002,0.0009,0.0
asaniczka_2024,11546,0.0037,0.0009,0.0573,0.0079,0.0195,0.0031,0.0145,0.0808,0.0207,0.0045,0.0296,0.0624,0.0006,0.0003,0.0
pooled_2024,15058,0.0055,0.0011,0.0619,0.0081,0.0203,0.0032,0.0178,0.0865,0.0236,0.0043,0.0272,0.0587,0.0009,0.0005,0.0
scraped_2026,27822,0.0518,0.0032,0.0886,0.017,0.023,0.0046,0.0213,0.1245,0.039,0.0091,0.016,0.0396,0.0018,0.0003,0.0
