group,n,share_junior,share_mid,share_senior,share_lead,share_principal,share_staff,share_director,share_manager,share_none
arshkon_2024,4261,0.0263,0.0042,0.2671,0.0577,0.0291,0.0261,0.0021,0.0073,0.5801
asaniczka_2024,15186,0.0097,0.0043,0.4179,0.0684,0.0555,0.0285,0.0015,0.0125,0.4016
pooled_2024,19447,0.0134,0.0043,0.3848,0.0661,0.0497,0.028,0.0016,0.0114,0.4407
scraped_2026-03,16424,0.0353,0.0051,0.2844,0.0546,0.0378,0.0654,0.0067,0.0063,0.5044
scraped_2026-04,21185,0.0284,0.0061,0.278,0.048,0.0429,0.0626,0.0065,0.0056,0.5219
scraped_2026,37609,0.0314,0.0057,0.2808,0.0509,0.0407,0.0638,0.0066,0.0059,0.5143
