group,n,share_ai_engineering,share_ml_infrastructure,share_data_engineering,share_platform_engineering,share_reliability_engineering,share_security_engineering,share_cloud_engineering,share_frontend_fullstack,share_backend,share_mobile,share_embedded_firmware,share_qa_testing,share_data_science,share_blockchain_crypto,share_robotics
arshkon_2024,4008,0.0112,0.0017,0.0741,0.0082,0.023,0.0032,0.0284,0.1073,0.0324,0.004,0.018,0.0439,0.002,0.0007,0.0
asaniczka_2024,13725,0.0039,0.001,0.057,0.0072,0.0192,0.0032,0.0143,0.0817,0.0214,0.0042,0.0289,0.0602,0.0007,0.0004,0.0
pooled_2024,17733,0.0055,0.0012,0.0609,0.0074,0.0201,0.0032,0.0175,0.0875,0.0239,0.0042,0.0264,0.0565,0.001,0.0005,0.0
scraped_2026,33243,0.0492,0.0029,0.0866,0.0162,0.0233,0.0045,0.0212,0.1233,0.0388,0.0096,0.0165,0.0382,0.0018,0.0003,0.0
