title,n_arshkon,n_asaniczka,n_pooled2024,n_scraped,cos_arshkon_vs_scraped,cos_pooled2024_vs_scraped
software engineer,149,234,383,1545,0.787,0.856
senior software engineer,171,860,1031,1444,0.7671,0.8567
data engineer,86,109,195,764,0.7992,0.8388
senior data engineer,47,224,271,476,0.7431,0.8234
devops engineer,57,45,102,464,0.7518,0.8202
full stack engineer,58,41,99,382,0.7669,0.8057
embedded software engineer,32,59,91,200,0.5854,0.7771
cloud engineer,30,13,43,198,0.6946,0.7543
java developer,41,68,109,179,0.6601,0.7809
system engineer,42,85,127,118,0.7639,0.8395
