group,n,share_any_ai_term,share_ai,share_ml,share_data,share_llm,share_agent,share_genai
arshkon_2024,4691,0.1256,0.0168,0.0254,0.0878,0.0006,0.0004,0.0036
asaniczka_2024,18129,0.088,0.0102,0.0165,0.0643,0.0005,0.0002,0.0029
pooled_2024,22820,0.0957,0.0116,0.0183,0.0691,0.0005,0.0002,0.0031
scraped_2026-03,19740,0.2316,0.0981,0.0578,0.1018,0.0025,0.0083,0.0106
scraped_2026-04,25577,0.2379,0.1048,0.0565,0.1029,0.0032,0.0103,0.0092
scraped_2026,45317,0.2351,0.1019,0.0571,0.1025,0.0029,0.0094,0.0098
