group,n,share_junior,share_mid,share_senior,share_lead,share_principal,share_staff,share_director,share_manager,share_none
arshkon_2024,3512,0.0279,0.0026,0.26,0.0535,0.0248,0.0231,0.0017,0.0071,0.5994
asaniczka_2024,11546,0.0089,0.0047,0.4394,0.0732,0.0351,0.0243,0.001,0.0104,0.4032
pooled_2024,15058,0.0133,0.0042,0.3975,0.0686,0.0327,0.024,0.0011,0.0096,0.4489
scraped_2026-03,11970,0.0361,0.0044,0.2807,0.0453,0.0307,0.054,0.0048,0.006,0.538
scraped_2026-04,15852,0.0273,0.0057,0.2697,0.0408,0.0346,0.0524,0.0043,0.0052,0.5599
scraped_2026,27822,0.0311,0.0052,0.2744,0.0427,0.0329,0.0531,0.0045,0.0056,0.5505
